.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
504A0_S1_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
504A0_S1_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
504A14_S2_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
504A14_S2_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
504B0_S3_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
504B0_S3_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
504B14_S4_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
504B14_S4_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
508A0_S9_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
508A0_S9_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
508A14_S10_L001_R1_001	1	0.5	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
508A14_S10_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
508B0_S11_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
508B0_S11_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
508B14_S12_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
508B14_S12_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
519A0_S33_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
519A0_S33_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
519A14_S34_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
519A14_S34_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
519B0_S35_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
519B0_S35_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
519B14_S36_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
519B14_S36_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
521A0_S25_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
521A0_S25_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
521A14_S26_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
521A14_S26_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
521B0_S27_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
521B0_S27_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
521B14_S28_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
521B14_S28_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
523A0_S17_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
523A0_S17_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
523A14_S18_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
523A14_S18_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
523B0_S19_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
523B0_S19_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
523B14_S20_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
523B14_S20_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
528A0_S53_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
528A0_S53_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
528A14_S54_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
528A14_S54_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
528B0_S55_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
528B0_S55_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
528B14_S56_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
528B14_S56_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
532A0_S45_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
532A0_S45_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
532A14_S46_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
532A14_S46_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
532B0_S47_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
532B0_S47_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
532B14_S48_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
532B14_S48_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
550A0_S65_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
550A0_S65_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
550A14_S66_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
550A14_S66_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
550B0_S67_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
550B0_S67_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
550B14_S68_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
550B14_S68_L001_R2_001	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
551A0_S73_L001_R1_001	1	0.5	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
551A0_S73_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
551A14_S74_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
551A14_S74_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
551B0_S75_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
551B0_S75_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
551B14_S76_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
551B14_S76_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
554A0_S69_L001_R1_001	1	0.5	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
554A0_S69_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
554A14_S70_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
554A14_S70_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
554B0_S71_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
554B0_S71_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
554B14_S72_L001_R1_001	1	0.5	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
554B14_S72_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
574A0_S97_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
574A0_S97_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
574A14_S98_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
574A14_S98_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
574B0_S99_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
574B0_S99_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
574B14_S100_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
574B14_S100_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
576A0_S93_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
576A0_S93_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
576A14_S94_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
576A14_S94_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
576B0_S95_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
576B0_S95_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
576B14_S96_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
576B14_S96_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
578A0_S101_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
578A0_S101_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
578A14_S102_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
578A14_S102_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
578B0_S103_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
578B0_S103_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
578B14_S104_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
578B14_S104_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
583A0_S129_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
