Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
504A0_S1_L001_R1_001	13.157375971963639	70.69981382104916
504A0_S1_L001_R2_001	11.724893220895849	73.82104917314642
504A14_S2_L001_R1_001	10.18262457605009	73.15940516566658
504A14_S2_L001_R2_001	11.095747456300547	74.51343595095226
504B0_S3_L001_R1_001	9.505654447564336	75.30848295937557
504B0_S3_L001_R2_001	12.225971817924213	73.91225946057342
504B14_S4_L001_R1_001	12.220155925899435	72.01201630784637
504B14_S4_L001_R2_001	8.8334167799156	76.19984264358773
508A0_S9_L001_R1_001	12.253510120086483	68.37375289796556
508A0_S9_L001_R2_001	11.0734845919404	74.24522649717368
508A14_S10_L001_R1_001	13.136543183516599	69.77954521191417
508A14_S10_L001_R2_001	11.938187253122665	74.20465463862496
508B0_S11_L001_R1_001	14.485092789777912	68.82415576513539
508B0_S11_L001_R2_001	13.078034682080924	71.63827198052935
508B14_S12_L001_R1_001	11.325429802157588	69.6870354134106
508B14_S12_L001_R2_001	10.479167460831777	74.07463881370792
519A0_S33_L001_R1_001	10.080430988694134	68.52568480157827
519A0_S33_L001_R2_001	12.561651111616968	72.94180135063358
519A14_S34_L001_R1_001	11.407568744895181	70.70817073539644
519A14_S34_L001_R2_001	11.295640862752215	75.66022325074871
519B0_S35_L001_R1_001	9.469950738916257	70.44729064039409
519B0_S35_L001_R2_001	11.566502463054187	72.79211822660098
519B14_S36_L001_R1_001	10.472613666578038	70.54307365062483
519B14_S36_L001_R2_001	12.134405743153415	74.11925019941506
521A0_S25_L001_R1_001	14.731217969687057	70.29040817068295
521A0_S25_L001_R2_001	10.449605640969724	76.22578417475376
521A14_S26_L001_R1_001	12.780888920394132	71.85439852555469
521A14_S26_L001_R2_001	10.448713404692706	76.17849294676401
521B0_S27_L001_R1_001	16.011853233002597	69.76759672371313
521B0_S27_L001_R2_001	9.20956249583805	74.29912765532396
521B14_S28_L001_R1_001	15.53863697343708	70.03622216259727
521B14_S28_L001_R2_001	10.279715588945534	75.88207673732224
523A0_S17_L001_R1_001	14.856874339194109	70.73266241140307
523A0_S17_L001_R2_001	11.403062223440498	74.3235305634961
523A14_S18_L001_R1_001	12.313242784380305	70.8786078098472
523A14_S18_L001_R2_001	10.411714770797962	73.6502546689304
523B0_S19_L001_R1_001	11.153969784635166	70.98314735730358
523B0_S19_L001_R2_001	9.528401524544245	74.2113238738118
