Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
504A0_S1_L001_R1_001	(1, 0.00657102179388895)	(2, 0.00657102179388895)	(3, 0.015332384185740884)	(4, 0.00657102179388895)	(5, 0.010951702989814916)	(6, 0.00657102179388895)	(7, 0.00657102179388895)	(8, 0.00657102179388895)	(9, 0.00657102179388895)	(10, 0.00657102179388895)	(15, 0.00657102179388895)	(20, 0.00657102179388895)	(25, 0.00657102179388895)	(30, 0.012265907348592706)	(35, 0.0052571859159989305)	(40, 0.0)	(45, 0.003504882739766838)	(50, 0.001752479758858785)	(55, 0.002190666882812466)	(60, 0.007448300035050824)	(65, 0.004381391354638579)	(70, 0.0035051591561329333)	(75, 0.01182991215194865)	(80, 0.00043814489451661666)	(85, 0.0)	(90, 0.0)	(95, 0.004819593839682783)	(100, 0.01445878151904835)	(105, 0.007886608101299099)	(110, 0.0)	(115, 0.005695883628716016)	(120, 0.005695908585048678)	(125, 0.010515707838583884)	(130, 0.004819699426017614)	(135, 0.005257853919291942)	(140, 0.007010471892389256)	(145, 0.0)	(150, 0.0)	(155, 0.006572317399114928)	(160, 0.005696008412566271)	(165, 0.0)	(170, 0.0013144634798229855)	(175, 0.018840890867425852)	(180, 0.011830430496220835)	(185, 0.0)	(190, 0.015773907328294447)	(195, 0.015773907328294447)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.00043816793224171096)	(225, 0.02409955306283411)	(230, 0.007448952764875997)	(235, 0.0008763473841030585)	(240, 0.0)	(245, 0.018841468758215758)	(250, 0.054333537814389626)	(255, 0.0)	(260, 0.0)	(265, 0.0026290421523091755)	(270, 0.013145210761545876)	(275, 0.0013145210761545878)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.003525859979285573)	(300, 0.005670943503225349)
504A0_S1_L001_R2_001	(1, 0.024093746577592817)	(2, 0.00657102179388895)	(3, 0.00657102179388895)	(4, 0.00657102179388895)	(5, 0.00657102179388895)	(6, 0.00657102179388895)	(7, 0.00657102179388895)	(8, 0.00657102179388895)	(9, 0.00657102179388895)	(10, 0.00657102179388895)	(15, 0.026722155295148396)	(20, 0.0131420435877779)	(25, 0.00657102179388895)	(30, 0.00657102179388895)	(35, 0.007009581221331908)	(40, 0.004819171540601521)	(45, 0.012267089589183933)	(50, 0.0)	(55, 0.002628800259374959)	(60, 0.006572029442691903)	(65, 0.009200921844741016)	(70, 0.00043814489451661666)	(75, 0.002190724472583083)	(80, 0.010953622362915416)	(85, 0.0)	(90, 0.006134028523232633)	(95, 0.012706201940981883)	(100, 0.0)	(105, 0.007886608101299099)	(110, 0.010953622362915416)	(115, 0.015335071308081582)	(120, 0.0)	(125, 0.014459098278052843)	(130, 0.018840643210796128)	(135, 0.0)	(140, 0.0122683258116812)	(145, 0.018840643210796128)	(150, 0.0013144634798229855)	(155, 0.02672742408973404)	(160, 0.006572317399114928)	(165, 0.002628926959645971)	(170, 0.013144634798229856)	(175, 0.010077685812809177)	(180, 0.0)	(185, 0.0030671486471683645)	(190, 0.025413517362252162)	(195, 0.0074487895716946004)	(200, 0.005696133201884106)	(205, 0.03067148647168365)	(210, 0.0070106254792419755)	(215, 0.00043816409245262347)	(220, 0.0)	(225, 0.00131454987621322)	(230, 0.00043818329207107336)	(235, 0.0008763665841421467)	(240, 0.00043818329207107336)	(245, 0.004381832920710734)	(250, 0.0017527331682842934)	(255, 0.00262909975242644)	(260, 0.00394364962863966)	(265, 0.002190916460355367)	(270, 0.01051639900970576)	(275, 0.014898231930416493)	(280, 0.00394364962863966)	(285, 0.0262909975242644)	(290, 0.0197182481431983)	(295, 0.0)	(300, 0.0)
504A14_S2_L001_R1_001	(1, 0.0026089225150013043)	(2, 0.0026089225150013043)	(3, 0.015653535090007827)	(4, 0.0026089225150013043)	(5, 0.0026089225150013043)	(6, 0.0026089225150013043)	(7, 0.0052178450300026085)	(8, 0.0026089225150013043)	(9, 0.0026089225150013043)	(10, 0.0026089225150013043)	(15, 0.0026089225150013043)	(20, 0.0026089225150013043)	(25, 0.0026089225150013043)	(30, 0.004174276024002087)	(35, 0.0031307723615415922)	(40, 0.0)	(45, 0.001565500542706855)	(50, 0.0020873558419871627)	(55, 0.0005218389604967907)	(60, 0.005218389604967907)	(65, 0.003652872723477535)	(70, 0.0026091948024839534)	(75, 0.00730574544695507)	(80, 0.0005218389604967907)	(85, 0.0)	(90, 0.0)	(95, 0.0036529680365296807)	(100, 0.008349815521263326)	(105, 0.00782799290261977)	(110, 0.0)	(115, 0.0026093309675399227)	(120, 0.006262394322095815)	(125, 0.0073061267091117845)	(130, 0.004174929548063876)	(135, 0.004696795741571861)	(140, 0.006262394322095815)	(145, 0.0)	(150, 0.0)	(155, 0.00782799290261977)	(160, 0.0057405281285878304)	(165, 0.0)	(170, 0.002087464774031938)	(175, 0.016177851998747522)	(180, 0.010959190063667676)	(185, 0.0)	(190, 0.014612253418223569)	(195, 0.01826531677277946)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.020875192443180333)	(230, 0.005740677921874592)	(235, 0.0)	(240, 0.0)	(245, 0.018265793387782794)	(250, 0.06001617827414347)	(255, 0.0005218798110795084)	(260, 0.0)	(265, 0.0015656802880851732)	(270, 0.010959762016596212)	(275, 0.0005218934293617243)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0015808610423143808)	(300, 0.004818812644564379)
504A14_S2_L001_R2_001	(1, 0.01826245760500913)	(2, 0.0026089225150013043)	(3, 0.0026089225150013043)	(4, 0.0026089225150013043)	(5, 0.0026089225150013043)	(6, 0.0026089225150013043)	(7, 0.0026089225150013043)	(8, 0.0026089225150013043)	(9, 0.0026089225150013043)	(10, 0.0026089225150013043)	(15, 0.019827811114009913)	(20, 0.006783198539003391)	(25, 0.0026089225150013043)	(30, 0.0026089225150013043)	(35, 0.004174363148722123)	(40, 0.0046962810672037825)	(45, 0.009914836770476746)	(50, 0.0)	(55, 0.003131033762980744)	(60, 0.004174711683974325)	(65, 0.006262067525961488)	(70, 0.0)	(75, 0.0005218389604967907)	(80, 0.00782758440745186)	(85, 0.0)	(90, 0.005218525766470972)	(95, 0.013568166992824527)	(100, 0.0)	(105, 0.006262394322095815)	(110, 0.010437323870159691)	(115, 0.008349859096127753)	(120, 0.0)	(125, 0.011481056257175661)	(130, 0.020352781546811395)	(135, 0.0)	(140, 0.014090387224715582)	(145, 0.016177851998747522)	(150, 0.0015655985805239539)	(155, 0.02557144348189124)	(160, 0.006262394322095815)	(165, 0.002087464774031938)	(170, 0.010437323870159691)	(175, 0.009915457676651706)	(180, 0.0)	(185, 0.002087464774031938)	(190, 0.021918380127335352)	(195, 0.0067842605156037995)	(200, 0.0031311971610479077)	(205, 0.02504957728838326)	(210, 0.00469686927569057)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0010437596221590168)	(250, 0.0)	(255, 0.0005218798110795084)	(260, 0.001565639433238525)	(265, 0.0020875192443180336)	(270, 0.008871956788351643)	(275, 0.010437596221590167)	(280, 0.0036531586775565587)	(285, 0.024528351120736893)	(290, 0.015656476040372833)	(295, 0.0)	(300, 0.0)
504B0_S3_L001_R1_001	(1, 0.002576058115871094)	(2, 0.002576058115871094)	(3, 0.010304232463484376)	(4, 0.002576058115871094)	(5, 0.005152116231742188)	(6, 0.002576058115871094)	(7, 0.002576058115871094)	(8, 0.002576058115871094)	(9, 0.002576058115871094)	(10, 0.002576058115871094)	(15, 0.002576058115871094)	(20, 0.002576058115871094)	(25, 0.002576058115871094)	(30, 0.006182539478090626)	(35, 0.005667444652250749)	(40, 0.0)	(45, 0.003091349374001752)	(50, 0.003091349374001752)	(55, 0.001545674687000876)	(60, 0.005667473852336544)	(65, 0.0030913812291331767)	(70, 0.006182858026122575)	(75, 0.007213334363809671)	(80, 0.0015457145065306437)	(85, 0.0)	(90, 0.0)	(95, 0.005667619857279028)	(100, 0.015457145065306436)	(105, 0.008243810701496768)	(110, 0.0)	(115, 0.0030914290130612874)	(120, 0.005152381688435479)	(125, 0.00978952520802741)	(130, 0.0025761908442177395)	(135, 0.004637143519591932)	(140, 0.005152381688435479)	(145, 0.0)	(150, 0.0)	(155, 0.007728572532653218)	(160, 0.006698096194966123)	(165, 0.0)	(170, 0.002060952675374192)	(175, 0.01957905041605482)	(180, 0.014426668727619342)	(185, 0.0)	(190, 0.017518639316979168)	(195, 0.022156382841684915)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.02885482416591524)	(230, 0.007728970758727296)	(235, 0.0005152647172484864)	(240, 0.0005152647172484864)	(245, 0.01854952982094551)	(250, 0.058224913049078966)	(255, 0.0015457941517454592)	(260, 0.0)	(265, 0.0010305294344969728)	(270, 0.008759500193224268)	(275, 0.0025763235862424324)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0005173466325907685)	(300, 0.0015861182927022698)
504B0_S3_L001_R2_001	(1, 0.015456348695226566)	(2, 0.002576058115871094)	(3, 0.002576058115871094)	(4, 0.002576058115871094)	(5, 0.002576058115871094)	(6, 0.002576058115871094)	(7, 0.002576058115871094)	(8, 0.002576058115871094)	(9, 0.002576058115871094)	(10, 0.002576058115871094)	(15, 0.020093253303794533)	(20, 0.008243385970787501)	(25, 0.002576058115871094)	(30, 0.002576058115871094)	(35, 0.0061826668933644535)	(40, 0.006182698748003504)	(45, 0.012365397496007008)	(50, 0.0)	(55, 0.002576124478334793)	(60, 0.0041217991653356685)	(65, 0.00927414368739953)	(70, 0.0)	(75, 0.001030476337687096)	(80, 0.010304763376870958)	(85, 0.0)	(90, 0.005667619857279028)	(95, 0.01494190689646289)	(100, 0.0)	(105, 0.009274287039183864)	(110, 0.007213334363809671)	(115, 0.00978952520802741)	(120, 0.0)	(125, 0.01236571605224515)	(130, 0.02215524126027256)	(135, 0.0)	(140, 0.013911430558775795)	(145, 0.01751809774068063)	(150, 0.0025761908442177395)	(155, 0.028853337455238683)	(160, 0.008243810701496768)	(165, 0.0015457145065306437)	(170, 0.00978952520802741)	(175, 0.00978952520802741)	(180, 0.0)	(185, 0.002060952675374192)	(190, 0.024216942585235907)	(195, 0.0066984413242303234)	(200, 0.005667911889733351)	(205, 0.030400618317660697)	(210, 0.00721370604147881)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0015458339774308241)	(250, 0.0015458339774308241)	(255, 0.0025763899623847068)	(260, 0.003606945947338589)	(265, 0.0015458339774308241)	(270, 0.011336115834492708)	(275, 0.012366671819446593)	(280, 0.0030916679548616483)	(285, 0.025763899623847064)	(290, 0.018034822666165125)	(295, 0.0)	(300, 0.0)
504B14_S4_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.02145769258279093)	(4, 0.0)	(5, 0.0035762820971318218)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.002145769258279093)	(35, 0.0007152564194263644)	(40, 0.0)	(45, 0.0021458459997854154)	(50, 0.0007152819999284718)	(55, 0.0007152819999284718)	(60, 0.004291814793885595)	(65, 0.0021460455533936136)	(70, 0.0007153587524143358)	(75, 0.005007511266900351)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.002146076257243007)	(100, 0.009299663781386365)	(105, 0.005007511266900351)	(110, 0.0)	(115, 0.0028614350096573433)	(120, 0.004292152514486014)	(125, 0.005007511266900351)	(130, 0.003576793762071679)	(135, 0.005722870019314687)	(140, 0.005722870019314687)	(145, 0.0)	(150, 0.0)	(155, 0.005722870019314687)	(160, 0.004292152514486014)	(165, 0.0)	(170, 0.003576793762071679)	(175, 0.015022533800701052)	(180, 0.011445903797178584)	(185, 0.0)	(190, 0.01359278866790671)	(195, 0.02360852768636429)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.027186160813295463)	(230, 0.004292613128241817)	(235, 0.0)	(240, 0.0)	(245, 0.016455016991593633)	(250, 0.05437309962439635)	(255, 0.0)	(260, 0.0)	(265, 0.0014308710427472723)	(270, 0.010016097299230907)	(275, 0.0014308710427472723)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0007162708076669627)	(300, 0.0)
504B14_S4_L001_R2_001	(1, 0.014305128388527287)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.01788141048565911)	(20, 0.004291538516558186)	(25, 0.0)	(30, 0.0)	(35, 0.0050067949359845505)	(40, 0.0028611075347266925)	(45, 0.010013947998998605)	(50, 0.0)	(55, 0.0007152819999284718)	(60, 0.003576512328237995)	(65, 0.0035767425889893555)	(70, 0.0)	(75, 0.0007153587524143358)	(80, 0.007868946276557693)	(85, 0.0)	(90, 0.003576793762071679)	(95, 0.01359181629587238)	(100, 0.0)	(105, 0.004292152514486014)	(110, 0.0064382287717290225)	(115, 0.010015022533800702)	(120, 0.0)	(125, 0.015022533800701052)	(130, 0.024322197582087417)	(135, 0.0)	(140, 0.01645325130552972)	(145, 0.01645325130552972)	(150, 0.002146076257243007)	(155, 0.03362186136347378)	(160, 0.007868946276557693)	(165, 0.0014307175048286717)	(170, 0.012161098791043708)	(175, 0.01359181629587238)	(180, 0.0)	(185, 0.0021461990814267934)	(190, 0.02503934754614394)	(195, 0.007869509228788096)	(200, 0.005723279439118615)	(205, 0.028616397195593075)	(210, 0.006438689369008442)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0021463065641209086)	(250, 0.0)	(255, 0.0014308710427472723)	(260, 0.003577177606868181)	(265, 0.0021463065641209086)	(270, 0.010016097299230907)	(275, 0.01717045251296727)	(280, 0.003577177606868181)	(285, 0.025755678769450906)	(290, 0.02074763011983545)	(295, 0.0)	(300, 0.0)
508A0_S9_L001_R1_001	(1, 0.00781473859699393)	(2, 0.0052098257313292875)	(3, 0.018234390059652505)	(4, 0.0052098257313292875)	(5, 0.00781473859699393)	(6, 0.0052098257313292875)	(7, 0.0052098257313292875)	(8, 0.0052098257313292875)	(9, 0.0052098257313292875)	(10, 0.0052098257313292875)	(15, 0.0052098257313292875)	(20, 0.0052098257313292875)	(25, 0.0052098257313292875)	(30, 0.005730808304462215)	(35, 0.003126025727191735)	(40, 0.0)	(45, 0.0015631105900742476)	(50, 0.0020841474534323305)	(55, 0.000521042293002923)	(60, 0.0026053200635698095)	(65, 0.0026053336390258136)	(70, 0.003126481822113606)	(75, 0.006253093978791589)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0026055237102657635)	(100, 0.009380080877141785)	(105, 0.003647828239401756)	(110, 0.0)	(115, 0.002084581911040467)	(120, 0.003648018344320817)	(125, 0.004169163822080934)	(130, 0.002084581911040467)	(135, 0.0031268728665607005)	(140, 0.0031268728665607005)	(145, 0.0)	(150, 0.0)	(155, 0.005211454777601167)	(160, 0.003648018344320817)	(165, 0.0)	(170, 0.0010422909555202334)	(175, 0.010944055032962452)	(180, 0.006774891210881517)	(185, 0.0)	(190, 0.009380618599682101)	(195, 0.012507491466242802)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0156343643328035)	(230, 0.0031268728665607005)	(235, 0.0)	(240, 0.0)	(245, 0.010944340212632896)	(250, 0.04013029315960912)	(255, 0.000521172638436482)	(260, 0.0)	(265, 0.001563517915309446)	(270, 0.009381107491856678)	(275, 0.001563517915309446)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.001046687495747832)	(300, 0.004730145215458115)
508A0_S9_L001_R2_001	(1, 0.01562947719398786)	(2, 0.0052098257313292875)	(3, 0.0052098257313292875)	(4, 0.0052098257313292875)	(5, 0.0052098257313292875)	(6, 0.0052098257313292875)	(7, 0.0052098257313292875)	(8, 0.0052098257313292875)	(9, 0.0052098257313292875)	(10, 0.0052098257313292875)	(15, 0.018234390059652505)	(20, 0.00781473859699393)	(25, 0.0052098257313292875)	(30, 0.0052098257313292875)	(35, 0.003647030015057024)	(40, 0.0031261886029584165)	(45, 0.006773479223655073)	(50, 0.0)	(55, 0.001042084586005846)	(60, 0.0026053200635698095)	(65, 0.0036474670946361394)	(70, 0.0)	(75, 0.0)	(80, 0.005210911648992991)	(85, 0.0)	(90, 0.002084397244426843)	(95, 0.006253256904637833)	(100, 0.0)	(105, 0.003647828239401756)	(110, 0.00573242100984413)	(115, 0.004169163822080934)	(120, 0.0)	(125, 0.008859473121921984)	(130, 0.010944055032962452)	(135, 0.0)	(140, 0.009380618599682101)	(145, 0.011986345988482685)	(150, 0.0010422909555202334)	(155, 0.015113218855043384)	(160, 0.004169163822080934)	(165, 0.0015634364332803503)	(170, 0.008338327644161867)	(175, 0.004690309299841051)	(180, 0.0)	(185, 0.0010422909555202334)	(190, 0.016155509810563618)	(195, 0.0026057273888005837)	(200, 0.0031268728665607005)	(205, 0.01771894624384397)	(210, 0.004690309299841051)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.000521172638436482)	(265, 0.000521172638436482)	(270, 0.005732899022801303)	(275, 0.007296416938110749)	(280, 0.001042345276872964)	(285, 0.015635179153094463)	(290, 0.007817589576547232)	(295, 0.0)	(300, 0.0)
