Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
504A0_S1_L001_R1_001	(1, 33.8415069543314)	(2, 33.88459095389333)	(3, 33.87620194940313)	(4, 33.84095936918191)	(5, 33.9015003833096)	(6, 37.75341145548133)	(7, 37.67241266016865)	(8, 37.638155733216514)	(9, 37.613864855985106)	(10, 37.601761033840766)	(15, 37.42405432044683)	(20, 37.65695323622823)	(25, 37.530601248494136)	(30, 37.64255831781842)	(35, 37.482639949280596)	(40, 37.495169875796805)	(45, 37.48530382597258)	(50, 37.532386343655574)	(55, 37.4135545649469)	(60, 37.23695671223274)	(65, 37.10450941944719)	(70, 37.01383661576884)	(75, 37.13712182618792)	(80, 37.386316734944245)	(85, 37.11623545906632)	(90, 37.111082875106796)	(95, 37.256954454838215)	(100, 37.091585427300814)	(105, 36.97455692597542)	(110, 36.94458781519049)	(115, 37.12824062917606)	(120, 37.03330279063022)	(125, 36.88690794374096)	(130, 36.80588879638961)	(135, 36.634890242299434)	(140, 36.617513035096174)	(145, 36.43236209087324)	(150, 36.50944222933006)	(155, 36.54431056390483)	(160, 36.41910353590676)	(165, 36.583139815098804)	(170, 36.43538973842177)	(175, 36.444786954325046)	(180, 35.99686712673896)	(185, 36.16783875561398)	(190, 35.935664366305176)	(195, 36.061645306167165)	(200, 35.31834373973053)	(205, 35.853819695475956)	(210, 35.34411655164859)	(215, 35.661605871398834)	(220, 35.16058416621613)	(225, 34.7327009026378)	(230, 34.7676846902112)	(235, 34.69472000701078)	(240, 34.02392428358601)	(245, 34.104026816229954)	(250, 34.24769958811673)	(255, 33.7331697484883)	(260, 33.202151432827975)	(265, 33.59507492770134)	(270, 32.24033388835334)	(275, 31.13978178950136)	(280, 32.05902637805626)	(285, 31.773722723687666)	(290, 29.5127508544387)	(295, 27.851392440335708)	(300, 22.987619875163464)
504A0_S1_L001_R2_001	(1, 33.133347935603986)	(2, 33.17595006023436)	(3, 33.26864527434016)	(4, 33.182367758186395)	(5, 33.491972401708466)	(6, 37.03909757967364)	(7, 37.23671010842186)	(8, 36.64490198225824)	(9, 36.89348373672106)	(10, 37.081397437301504)	(15, 36.815985105683936)	(20, 36.70235023546161)	(25, 36.515671886978424)	(30, 36.74099222429088)	(35, 36.438554514731536)	(40, 36.69512606514644)	(45, 36.69391407637396)	(50, 36.518266265206606)	(55, 36.48274391749886)	(60, 36.54988170347003)	(65, 36.52560485956438)	(70, 36.53625429929678)	(75, 36.03315880561702)	(80, 36.12512103752711)	(85, 35.77079326133152)	(90, 36.3680942887813)	(95, 36.14510044471707)	(100, 36.15555458190023)	(105, 36.053322233662676)	(110, 35.99263916577212)	(115, 35.672302670493124)	(120, 35.54290717638172)	(125, 35.34957279936906)	(130, 36.16113131490164)	(135, 35.66919773912282)	(140, 34.66493449590325)	(145, 35.27274679051833)	(150, 34.26709897910003)	(155, 34.984809183718184)	(160, 33.45007667703632)	(165, 33.53740524909083)	(170, 32.73205538272795)	(175, 32.8744162352592)	(180, 33.999426005038885)	(185, 32.555451856720346)	(190, 31.938604447365538)	(195, 32.209810494030016)	(200, 31.431503998247344)	(205, 30.935603023332238)	(210, 28.415936028042506)	(215, 29.32833826267937)	(220, 27.24893685181288)	(225, 27.867212935170784)	(230, 25.03273667375063)	(235, 24.326639353241458)	(240, 21.77219288828517)	(245, 26.405652564467722)	(250, 25.08675590999715)	(255, 23.34765024209627)	(260, 22.15525710404662)	(265, 20.302977455469623)	(270, 18.95629998028175)	(275, 19.39908419691957)	(280, 19.097013780864536)	(285, 17.163565059264293)	(290, 18.573844839296278)	(295, 14.723001064253012)	(300, 10.958248991261737)
504A14_S2_L001_R1_001	(1, 33.893634229063395)	(2, 33.886616227498045)	(3, 33.87516305765719)	(4, 33.869919123402035)	(5, 33.91927993738586)	(6, 37.76420558309418)	(7, 37.67881554917819)	(8, 37.649673884685626)	(9, 37.58032872423689)	(10, 37.60198799895643)	(15, 37.43247586746673)	(20, 37.6703313331594)	(25, 37.53328985129142)	(30, 37.64990868771198)	(35, 37.42834016012396)	(40, 37.49874403038205)	(45, 37.4706321759384)	(50, 37.52664509732297)	(55, 37.391055680217086)	(60, 37.256697803057975)	(65, 37.058654699159845)	(70, 37.070933569900326)	(75, 37.172535615509055)	(80, 37.390345979230815)	(85, 37.0703464963722)	(90, 37.06466797129811)	(95, 37.214309197651666)	(100, 37.04054866812463)	(105, 36.937151654315834)	(110, 36.90907525310511)	(115, 37.00316250913265)	(120, 36.96363114497443)	(125, 36.775159169189024)	(130, 36.74160839160839)	(135, 36.551075044358626)	(140, 36.533681244129006)	(145, 36.37409456215427)	(150, 36.3618411439307)	(155, 36.44731238910343)	(160, 36.26968479281912)	(165, 36.47519569982257)	(170, 36.340434192673)	(175, 36.36331802525832)	(180, 35.93696378248617)	(185, 36.0572591587517)	(190, 35.85877257071287)	(195, 35.8114393069617)	(200, 35.04360713912953)	(205, 35.470733743868074)	(210, 35.26666610389783)	(215, 35.300754116327006)	(220, 34.68959110716802)	(225, 34.417425566891936)	(230, 34.43505988570833)	(235, 34.4428828640764)	(240, 33.971129608851086)	(245, 33.80789604154163)	(250, 33.856149048874045)	(255, 33.231234506693106)	(260, 33.012328776741896)	(265, 33.15385418297584)	(270, 31.76602995668285)	(275, 30.910062105318094)	(280, 31.65446479828819)	(285, 31.50909660247378)	(290, 29.570533896978237)	(295, 27.481170038147788)	(300, 23.690426623013693)
504A14_S2_L001_R2_001	(1, 33.185311766240545)	(2, 33.22449778241586)	(3, 33.332115836159666)	(4, 33.21656665797026)	(5, 33.509783459431254)	(6, 37.12452387164101)	(7, 37.25679624315158)	(8, 36.74140360031307)	(9, 36.93511609705192)	(10, 37.13471432298461)	(15, 36.87948343334203)	(20, 36.765061309679105)	(25, 36.63172971562744)	(30, 36.832188885990085)	(35, 36.540897110770615)	(40, 36.754624351671154)	(45, 36.73460253122653)	(50, 36.56466106559516)	(55, 36.560162813755674)	(60, 36.62889944163231)	(65, 36.62202160413297)	(70, 36.60992015863904)	(75, 36.06106037676773)	(80, 36.202718780984185)	(85, 35.86127193947321)	(90, 36.4719686888454)	(95, 36.21324461839531)	(100, 36.113276254992876)	(105, 36.074011063563304)	(110, 36.03675503600877)	(115, 35.80236927251853)	(120, 35.70591274397245)	(125, 35.508308109800645)	(130, 36.31510802630206)	(135, 35.86681974741676)	(140, 34.896247782068684)	(145, 35.37227324913893)	(150, 34.34878405176913)	(155, 34.98083707337439)	(160, 33.617372925581876)	(165, 33.71592213756393)	(170, 32.90248930174304)	(175, 33.11961173155203)	(180, 34.122690742093724)	(185, 32.7895418014821)	(190, 32.09706189333055)	(195, 32.22869220331907)	(200, 31.757373969314266)	(205, 31.201508193299237)	(210, 28.54964265558626)	(215, 29.34393967069384)	(220, 27.16843670902591)	(225, 27.79846045455731)	(230, 24.865271507971713)	(235, 24.364105106593954)	(240, 21.79756804008037)	(245, 26.16868199253712)	(250, 25.22653758839339)	(255, 23.66807922135532)	(260, 22.423009680870496)	(265, 20.48375127208204)	(270, 19.20853795370926)	(275, 19.57894214962294)	(280, 19.025071106124262)	(285, 17.397912480755682)	(290, 18.70674729231746)	(295, 14.717210943377552)	(300, 11.060360707310785)
504B0_S3_L001_R1_001	(1, 33.84337566655504)	(2, 33.88971895205956)	(3, 33.87835853576857)	(4, 33.8881990777712)	(5, 33.902805327288185)	(6, 37.766119683660065)	(7, 37.707050671063136)	(8, 37.66403050052809)	(9, 37.60972719544553)	(10, 37.61615703650274)	(15, 37.47260877405394)	(20, 37.67135680980963)	(25, 37.54554213143049)	(30, 37.65713181689379)	(35, 37.519940345162134)	(40, 37.517430058220405)	(45, 37.502071204080586)	(50, 37.54528826832912)	(55, 37.441388015868924)	(60, 37.250729043227366)	(65, 37.1206618121855)	(70, 37.05395058865961)	(75, 37.15884792745446)	(80, 37.38994770332586)	(85, 37.129098075585446)	(90, 37.07782157302213)	(95, 37.25021511193549)	(100, 37.09414947059278)	(105, 36.98229126413685)	(110, 36.99218383697864)	(115, 37.169425767060815)	(120, 37.041641548805934)	(125, 36.9066594533323)	(130, 36.830455728160345)	(135, 36.653811474354015)	(140, 36.67112862920885)	(145, 36.490687070098154)	(150, 36.521601360228765)	(155, 36.606043743720534)	(160, 36.440708967720326)	(165, 36.613818687688386)	(170, 36.47948579230749)	(175, 36.498838137929255)	(180, 36.01710075482392)	(185, 36.1732230723652)	(190, 35.97278898032808)	(195, 36.10699471853665)	(200, 35.35209583923741)	(205, 35.85053201082056)	(210, 35.39742367641376)	(215, 35.69667396625016)	(220, 35.23255957748293)	(225, 34.855452788870274)	(230, 34.71775859847997)	(235, 34.762967924771345)	(240, 34.08524539482159)	(245, 34.11862939585212)	(250, 34.14936493623598)	(255, 33.686502640731675)	(260, 33.17203143114775)	(265, 33.709880200953236)	(270, 32.27197217570527)	(275, 31.189833827128687)	(280, 32.1089887929924)	(285, 31.888208166945766)	(290, 29.478423289965217)	(295, 27.53169137268776)	(300, 23.279210632502906)
504B0_S3_L001_R2_001	(1, 33.17707823488498)	(2, 33.22468378886628)	(3, 33.30005924933666)	(4, 33.16430098663026)	(5, 33.515057059687265)	(6, 37.1119297251346)	(7, 37.28967773512971)	(8, 36.68033694840155)	(9, 36.90084752312012)	(10, 37.1012493881862)	(15, 36.83570416548598)	(20, 36.724439063345265)	(25, 36.57389422705376)	(30, 36.77244133027641)	(35, 36.493560976368684)	(40, 36.728759853676124)	(45, 36.720954196506774)	(50, 36.559477561955795)	(55, 36.48512030501313)	(60, 36.63391725488175)	(65, 36.57337887556664)	(70, 36.54147409640105)	(75, 36.014838859262696)	(80, 36.142937372800574)	(85, 35.71074013962955)	(90, 36.379761444727826)	(95, 36.18336295952804)	(100, 36.14015508668882)	(105, 35.999350799907255)	(110, 36.01669371667053)	(115, 35.67348842002216)	(120, 35.523672617667515)	(125, 35.315923435608106)	(130, 36.19236932271942)	(135, 35.65045727387485)	(140, 34.56068217533555)	(145, 35.177973568281935)	(150, 34.19251874178839)	(155, 34.96470103305253)	(160, 33.40630136280496)	(165, 33.3575392225056)	(170, 32.58660895999175)	(175, 32.531803075971865)	(180, 33.83587603369658)	(185, 32.30641213901126)	(190, 31.633772504998934)	(195, 31.99373438103826)	(200, 31.057967280690455)	(205, 30.746196058224918)	(210, 27.902821074326937)	(215, 28.817245910086307)	(220, 26.702864044913923)	(225, 27.39791312413047)	(230, 24.263842943267893)	(235, 23.925537177307156)	(240, 21.198649971659712)	(245, 25.70508064100583)	(250, 24.361962178595352)	(255, 22.91148554645231)	(260, 21.453491008399034)	(265, 19.883093729066832)	(270, 18.552146132838665)	(275, 18.961235636625965)	(280, 18.645983408048643)	(285, 16.71863760498789)	(290, 18.23066872214434)	(295, 14.39386504932049)	(300, 10.76170484594294)
504B14_S4_L001_R1_001	(1, 33.8377798440741)	(2, 33.89968528717545)	(3, 33.87318503683571)	(4, 33.864101280308994)	(5, 33.9013661397611)	(6, 37.76103283026965)	(7, 37.672698662470495)	(8, 37.64280094413847)	(9, 37.57849939203204)	(10, 37.60170946284243)	(15, 37.44756455189186)	(20, 37.65616908661755)	(25, 37.533938917101786)	(30, 37.64876618267649)	(35, 37.507925041127244)	(40, 37.507530374908534)	(45, 37.42634383605736)	(50, 37.51981688780801)	(55, 37.45587067701441)	(60, 37.24302233602037)	(65, 37.07685658489318)	(70, 36.960147363903005)	(75, 37.09318263108949)	(80, 37.3436154231347)	(85, 37.078946991916446)	(90, 37.070419915587664)	(95, 37.22958008441234)	(100, 37.043694112597464)	(105, 36.899134415909586)	(110, 36.89165176335932)	(115, 37.08172973746334)	(120, 36.87591387080621)	(125, 36.812840689605835)	(130, 36.711774805064735)	(135, 36.514772158237356)	(140, 36.45063309249589)	(145, 36.359904141927174)	(150, 36.41839187352458)	(155, 36.42520208884756)	(160, 36.36577008369697)	(165, 36.48528507046284)	(170, 36.30900636669289)	(175, 36.18733815008227)	(180, 35.771888120787665)	(185, 35.97666341918616)	(190, 35.77503219344685)	(195, 36.02381599656603)	(200, 35.30232508227214)	(205, 35.69038489054228)	(210, 35.265917870940044)	(215, 35.60920017169839)	(220, 35.11080268994133)	(225, 34.532297522803226)	(230, 34.74789483097836)	(235, 34.606582006796636)	(240, 33.80248256125917)	(245, 33.80266857449472)	(250, 33.671579323913434)	(255, 33.51683062064031)	(260, 32.83874083348238)	(265, 33.116344124485785)	(270, 32.02032552316222)	(275, 30.51284564478626)	(280, 31.450130566982647)	(285, 31.47607225898766)	(290, 28.720493650509752)	(295, 27.47439459532822)	(300, 21.7556776411394)
504B14_S4_L001_R2_001	(1, 33.09534368070953)	(2, 33.13521922609255)	(3, 33.25827909305486)	(4, 33.16214863028396)	(5, 33.47918603819469)	(6, 37.043702167226954)	(7, 37.22190830412703)	(8, 36.62291681567842)	(9, 36.85269294041914)	(10, 37.06114727129676)	(15, 36.77617480866891)	(20, 36.645461698018735)	(25, 36.46817824189973)	(30, 36.7340390530005)	(35, 36.39083756526715)	(40, 36.641338125683504)	(45, 36.64694395765531)	(50, 36.45690068309431)	(55, 36.409885197239014)	(60, 36.49237532067624)	(65, 36.484347898813475)	(70, 36.448887617139995)	(75, 35.857743758494884)	(80, 35.97263037413263)	(85, 35.45087631447171)	(90, 36.261270477144286)	(95, 36.05722870019314)	(100, 35.980370555833744)	(105, 35.90508620072967)	(110, 35.804199155876674)	(115, 35.43299949924887)	(120, 35.367000500751125)	(125, 35.232555976822375)	(130, 35.987052006581294)	(135, 35.469368338221614)	(140, 34.30385578367551)	(145, 35.04940982902925)	(150, 33.826081980113024)	(155, 34.80248229487088)	(160, 33.14718506330925)	(165, 33.145668502754134)	(170, 32.198841118821086)	(175, 32.226339509263894)	(180, 33.260503844233845)	(185, 31.4653161184777)	(190, 30.870074402632707)	(195, 31.53784518529117)	(200, 30.66163971955931)	(205, 29.821054514236657)	(210, 27.535548719416227)	(215, 28.556066676205468)	(220, 26.68273000429246)	(225, 26.232709263162576)	(230, 23.8881774280093)	(235, 23.549769272044358)	(240, 20.82075478447505)	(245, 25.613235557145412)	(250, 24.090695761044536)	(255, 22.62789483097836)	(260, 21.050731532820606)	(265, 19.602253621892327)	(270, 18.148195313897336)	(275, 18.629325702021106)	(280, 18.62527633697013)	(285, 16.423101412985154)	(290, 17.953825791450544)	(295, 14.253042054957078)	(300, 10.659384436760726)
508A0_S9_L001_R1_001	(1, 33.85034775586757)	(2, 33.87866315871734)	(3, 33.86720154210842)	(4, 33.8447992914637)	(5, 33.911589257339344)	(6, 37.76884003230092)	(7, 37.66714423402537)	(8, 37.66503425460419)	(9, 37.623407747010866)	(10, 37.613540337075726)	(15, 37.44472114407773)	(20, 37.67329703821407)	(25, 37.48511813279846)	(30, 37.63827658964808)	(35, 37.47279803240055)	(40, 37.52014371466335)	(45, 37.48661716816465)	(50, 37.53245278103426)	(55, 37.418037035426224)	(60, 37.27428809629263)	(65, 37.072350376768085)	(70, 37.08605095470311)	(75, 37.207081628930986)	(80, 37.416132982465285)	(85, 37.08604778405982)	(90, 37.09484744350136)	(95, 37.24004168837937)	(100, 37.10595338345438)	(105, 37.02161077672686)	(110, 36.974600722824434)	(115, 37.107606118247915)	(120, 37.07609766266253)	(125, 36.91386507543581)	(130, 36.891747661359666)	(135, 36.654735909529144)	(140, 36.64166558094692)	(145, 36.49687573286083)	(150, 36.520191781535814)	(155, 36.559517419287594)	(160, 36.41686947911509)	(165, 36.532079109883526)	(170, 36.49250332230242)	(175, 36.48518643979467)	(180, 36.116017406258955)	(185, 36.32981212705526)	(190, 36.07372123928395)	(195, 36.183537014357555)	(200, 35.4901581676525)	(205, 35.980827057873206)	(210, 35.589483284258804)	(215, 35.76031998332335)	(220, 35.20823409854861)	(225, 34.94987622794903)	(230, 34.929233655574954)	(235, 34.92878025900931)	(240, 34.33396914738378)	(245, 34.420148009172394)	(250, 34.49187752442997)	(255, 34.087270358306185)	(260, 33.52525342019544)	(265, 33.89076221498372)	(270, 32.80554006514658)	(275, 31.69894983713355)	(280, 32.557884039087945)	(285, 32.42696026058631)	(290, 30.2148265871521)	(295, 28.765592999868836)	(300, 23.429767436517178)
508A0_S9_L001_R2_001	(1, 33.49060928911928)	(2, 33.2026101226914)	(3, 33.090129985152)	(4, 33.264502852379586)	(5, 33.27851728359686)	(6, 36.696501602021414)	(7, 36.978900205788115)	(8, 36.991638229701216)	(9, 36.9902055276251)	(10, 37.11307405767277)	(15, 36.86898851233426)	(20, 36.753679439422754)	(25, 36.5852666128318)	(30, 36.78678788194535)	(35, 36.41044988533528)	(40, 36.722332115638544)	(45, 36.73016542920412)	(50, 36.54125830402501)	(55, 36.5533665197056)	(60, 36.59309590183154)	(65, 36.56761400385967)	(70, 36.58146237880294)	(75, 36.13453010604205)	(80, 36.17119408040436)	(85, 35.86780959328834)	(90, 36.408395732733126)	(95, 36.225273579989576)	(100, 36.02177739487304)	(105, 36.11957580968759)	(110, 35.9434253843398)	(115, 35.76939833754592)	(120, 35.67994892774318)	(125, 35.473627433097946)	(130, 36.25313599291242)	(135, 35.81058967610809)	(140, 34.82825129634937)	(145, 35.45174974594158)	(150, 34.39118742997108)	(155, 35.05159861375303)	(160, 33.68446204758058)	(165, 33.80760351252052)	(170, 33.059269875185656)	(175, 33.227766631055054)	(180, 34.13328295593715)	(185, 32.82218516298825)	(190, 32.610547984469875)	(195, 32.497021653594594)	(200, 32.04251504807567)	(205, 31.427386194856297)	(210, 29.136654767178253)	(215, 30.074893816608903)	(220, 27.751846157854963)	(225, 28.67870860150611)	(230, 25.818907157933143)	(235, 24.86437188941293)	(240, 22.641150719199498)	(245, 26.852423389618508)	(250, 25.95757654723127)	(255, 23.843163517915308)	(260, 22.714678827361563)	(265, 20.64780195439739)	(270, 19.391077524429967)	(275, 19.47227622149837)	(280, 19.19776416938111)	(285, 17.47562214983713)	(290, 18.90594397394137)	(295, 14.891072807080345)	(300, 10.95931284688315)
