Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
504A0_S1_L001_R1_001	(0.0, 3.0)	(1.0, 1.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.25)	(37.0, 0.25)	(38.0, 0.0)	(39.0, 0.5833333333333333)	(40.0, 0.25)	(41.0, 0.75)	(42.0, 1.8333333333333333)	(43.0, 1.75)	(44.0, 1.0)	(45.0, 0.25)	(46.0, 2.75)	(47.0, 9.25)	(48.0, 15.25)	(49.0, 40.0)	(50.0, 282.83333333333337)	(51.0, 1500.5)	(52.0, 1460.5833333333333)	(53.0, 2055.833333333332)	(54.0, 2878.1666666666665)	(55.0, 2417.416666666666)	(56.0, 1027.6666666666679)	(57.0, 674.5000000000017)	(58.0, 1307.083333333329)	(59.0, 868.5000000000153)	(60.0, 379.1666666666651)	(61.0, 170.9166666666667)	(62.0, 123.49999999999997)	(63.0, 61.083333333333336)	(64.0, 35.25)	(65.0, 18.75)	(66.0, 80.25)	(67.0, 145.5)	(68.0, 14.25)	(69.0, 3.0)	(70.0, 2.5)	(71.0, 0.25)	(72.0, 0.25)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504A0_S1_L001_R2_001	(0.0, 3.0)	(1.0, 1.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.25)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.5)	(35.0, 0.5)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.5)	(39.0, 0.25)	(40.0, 0.25)	(41.0, 1.5833333333333333)	(42.0, 1.75)	(43.0, 2.583333333333333)	(44.0, 2.8333333333333335)	(45.0, 1.9166666666666665)	(46.0, 5.166666666666666)	(47.0, 12.333333333333334)	(48.0, 31.249999999999993)	(49.0, 61.83333333333338)	(50.0, 166.83333333333346)	(51.0, 593.6666666666669)	(52.0, 2185.3333333333185)	(53.0, 3340.4166666666883)	(54.0, 3295.7500000000055)	(55.0, 2664.9166666666674)	(56.0, 1016.666666666667)	(57.0, 417.7499999999999)	(58.0, 468.1666666666664)	(59.0, 344.83333333333337)	(60.0, 155.25)	(61.0, 66.83333333333334)	(62.0, 53.25)	(63.0, 60.083333333333336)	(64.0, 68.5)	(65.0, 69.50000000000001)	(66.0, 66.66666666666667)	(67.0, 122.5)	(68.0, 120.5)	(69.0, 55.0)	(70.0, 20.25)	(71.0, 7.5)	(72.0, 5.0)	(73.0, 5.25)	(74.0, 3.5)	(75.0, 3.0)	(76.0, 0.25)	(77.0, 0.75)	(78.0, 0.5)	(79.0, 0.75)	(80.0, 1.0)	(81.0, 0.5)	(82.0, 1.5)	(83.0, 1.0)	(84.0, 0.5)	(85.0, 0.75)	(86.0, 0.5)	(87.0, 1.0)	(88.0, 0.5)	(89.0, 0.25)	(90.0, 0.25)	(91.0, 0.25)	(92.0, 0.25)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.25)	(100.0, 0.6666666666666666)
504A14_S2_L001_R1_001	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.25)	(44.0, 0.5)	(45.0, 2.25)	(46.0, 4.25)	(47.0, 14.5)	(48.0, 20.5)	(49.0, 31.5)	(50.0, 223.75)	(51.0, 1098.9166666666667)	(52.0, 1406.5)	(53.0, 1290.4999999999998)	(54.0, 1789.0833333333317)	(55.0, 1651.2499999999986)	(56.0, 827.8333333333342)	(57.0, 1094.5000000000023)	(58.0, 2189.916666666643)	(59.0, 894.1666666666819)	(60.0, 276.9166666666672)	(61.0, 121.49999999999996)	(62.0, 75.33333333333333)	(63.0, 28.25)	(64.0, 10.25)	(65.0, 9.25)	(66.0, 42.0)	(67.0, 71.25)	(68.0, 7.0)	(69.0, 1.0)	(70.0, 0.25)	(71.0, 0.25)	(72.0, 0.25)	(73.0, 0.25)	(74.0, 0.25)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504A14_S2_L001_R2_001	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.25)	(36.0, 0.5)	(37.0, 0.25)	(38.0, 0.5833333333333333)	(39.0, 0.5)	(40.0, 0.5)	(41.0, 0.5)	(42.0, 1.0)	(43.0, 1.0)	(44.0, 1.5)	(45.0, 3.25)	(46.0, 6.083333333333333)	(47.0, 16.25)	(48.0, 31.83333333333333)	(49.0, 43.83333333333334)	(50.0, 108.41666666666654)	(51.0, 447.4999999999984)	(52.0, 1626.1666666666486)	(53.0, 2516.7499999999964)	(54.0, 2656.7499999999995)	(55.0, 2433.75)	(56.0, 1063.0000000000002)	(57.0, 827.4166666666669)	(58.0, 511.4166666666664)	(59.0, 254.00000000000003)	(60.0, 106.58333333333333)	(61.0, 44.083333333333336)	(62.0, 30.083333333333332)	(63.0, 30.0)	(64.0, 39.33333333333333)	(65.0, 34.75)	(66.0, 42.75)	(67.0, 66.08333333333334)	(68.0, 62.25)	(69.0, 27.0)	(70.0, 8.0)	(71.0, 4.0)	(72.0, 0.75)	(73.0, 1.0)	(74.0, 0.75)	(75.0, 1.5)	(76.0, 2.0)	(77.0, 1.0)	(78.0, 1.0)	(79.0, 2.25)	(80.0, 0.75)	(81.0, 0.5)	(82.0, 0.5)	(83.0, 0.75)	(84.0, 1.5)	(85.0, 0.75)	(86.0, 0.25)	(87.0, 0.25)	(88.0, 0.0)	(89.0, 0.5)	(90.0, 0.75)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.3333333333333333)
504B0_S3_L001_R1_001	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.25)	(44.0, 0.25)	(45.0, 0.5)	(46.0, 0.5)	(47.0, 1.0)	(48.0, 2.5)	(49.0, 10.833333333333334)	(50.0, 147.16666666666669)	(51.0, 930.0833333333333)	(52.0, 1080.25)	(53.0, 1399.9166666666667)	(54.0, 2580.25)	(55.0, 2626.4999999999995)	(56.0, 758.6666666666669)	(57.0, 486.2499999999992)	(58.0, 1213.4166666666688)	(59.0, 773.6666666666747)	(60.0, 407.833333333332)	(61.0, 180.58333333333337)	(62.0, 135.33333333333334)	(63.0, 76.91666666666667)	(64.0, 59.83333333333333)	(65.0, 35.5)	(66.0, 175.5)	(67.0, 304.25)	(68.0, 31.5)	(69.0, 4.0)	(70.0, 1.0)	(71.0, 1.25)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B0_S3_L001_R2_001	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.5833333333333333)	(37.0, 0.5833333333333333)	(38.0, 0.5)	(39.0, 1.0)	(40.0, 1.5833333333333333)	(41.0, 1.5833333333333333)	(42.0, 0.5)	(43.0, 0.5)	(44.0, 1.25)	(45.0, 2.0)	(46.0, 3.25)	(47.0, 3.583333333333333)	(48.0, 8.25)	(49.0, 33.33333333333333)	(50.0, 98.33333333333323)	(51.0, 400.6666666666658)	(52.0, 1498.4166666666563)	(53.0, 2274.166666666658)	(54.0, 2898.750000000002)	(55.0, 2744.4999999999995)	(56.0, 934.6666666666667)	(57.0, 376.91666666666663)	(58.0, 435.4166666666666)	(59.0, 313.8333333333333)	(60.0, 142.0)	(61.0, 66.5)	(62.0, 48.5)	(63.0, 53.16666666666667)	(64.0, 72.91666666666666)	(65.0, 87.25)	(66.0, 91.0)	(67.0, 180.83333333333331)	(68.0, 227.5)	(69.0, 117.0)	(70.0, 37.75)	(71.0, 9.25)	(72.0, 5.25)	(73.0, 4.0)	(74.0, 1.5)	(75.0, 2.5)	(76.0, 2.75)	(77.0, 0.5)	(78.0, 1.0)	(79.0, 1.0)	(80.0, 1.0)	(81.0, 1.5)	(82.0, 0.75)	(83.0, 0.5)	(84.0, 0.75)	(85.0, 1.0)	(86.0, 0.25)	(87.0, 0.25)	(88.0, 0.25)	(89.0, 0.25)	(90.0, 0.25)	(91.0, 0.0)	(92.0, 0.5)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.25)	(97.0, 0.25)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B14_S4_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.5)	(40.0, 1.0)	(41.0, 0.5)	(42.0, 0.25)	(43.0, 0.25)	(44.0, 0.0)	(45.0, 0.25)	(46.0, 0.75)	(47.0, 2.0)	(48.0, 2.75)	(49.0, 15.083333333333334)	(50.0, 141.08333333333331)	(51.0, 841.1666666666666)	(52.0, 980.5)	(53.0, 1203.75)	(54.0, 1317.2499999999998)	(55.0, 1111.9166666666667)	(56.0, 581.4999999999998)	(57.0, 434.8333333333326)	(58.0, 518.0833333333294)	(59.0, 968.9166666666848)	(60.0, 567.6666666666655)	(61.0, 214.50000000000014)	(62.0, 135.91666666666666)	(63.0, 84.5)	(64.0, 44.25)	(65.0, 31.75)	(66.0, 119.5)	(67.0, 181.5)	(68.0, 20.25)	(69.0, 2.25)	(70.0, 1.0)	(71.0, 0.25)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B14_S4_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.25)	(39.0, 1.0)	(40.0, 1.25)	(41.0, 1.3333333333333333)	(42.0, 0.8333333333333333)	(43.0, 1.0)	(44.0, 1.8333333333333333)	(45.0, 2.416666666666667)	(46.0, 2.0833333333333335)	(47.0, 6.666666666666665)	(48.0, 12.583333333333337)	(49.0, 33.08333333333331)	(50.0, 118.91666666666652)	(51.0, 475.6666666666659)	(52.0, 1305.9999999999993)	(53.0, 1651.0833333333312)	(54.0, 1485.9999999999989)	(55.0, 1016.0000000000002)	(56.0, 494.8333333333332)	(57.0, 370.24999999999994)	(58.0, 769.5000000000002)	(59.0, 623.75)	(60.0, 246.50000000000003)	(61.0, 91.66666666666666)	(62.0, 48.58333333333334)	(63.0, 48.833333333333336)	(64.0, 57.416666666666664)	(65.0, 60.750000000000014)	(66.0, 76.91666666666667)	(67.0, 140.41666666666666)	(68.0, 144.08333333333334)	(69.0, 69.5)	(70.0, 25.75)	(71.0, 9.75)	(72.0, 6.25)	(73.0, 3.75)	(74.0, 2.0)	(75.0, 2.25)	(76.0, 0.75)	(77.0, 1.0)	(78.0, 1.0)	(79.0, 0.5)	(80.0, 0.25)	(81.0, 0.5)	(82.0, 0.25)	(83.0, 0.5)	(84.0, 0.5)	(85.0, 0.5)	(86.0, 0.25)	(87.0, 0.25)	(88.0, 0.5)	(89.0, 0.75)	(90.0, 0.5)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.3333333333333333)
508A0_S9_L001_R1_001	(0.0, 2.0)	(1.0, 1.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.5)	(42.0, 1.5)	(43.0, 1.5)	(44.0, 0.75)	(45.0, 0.25)	(46.0, 7.0)	(47.0, 239.25)	(48.0, 335.75)	(49.0, 135.66666666666669)	(50.0, 319.5833333333333)	(51.0, 1238.6666666666665)	(52.0, 1848.4999999999995)	(53.0, 1968.9999999999975)	(54.0, 2824.6666666666697)	(55.0, 1980.3333333333296)	(56.0, 705.5000000000011)	(57.0, 393.7499999999996)	(58.0, 561.8333333333318)	(59.0, 193.75000000000043)	(60.0, 70.58333333333334)	(61.0, 31.416666666666664)	(62.0, 19.083333333333336)	(63.0, 14.75)	(64.0, 7.0)	(65.0, 2.0)	(66.0, 10.25)	(67.0, 14.75)	(68.0, 2.5)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.25)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
508A0_S9_L001_R2_001	(0.0, 2.0)	(1.0, 1.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.25)	(35.0, 0.25)	(36.0, 0.5)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.25)	(40.0, 0.75)	(41.0, 2.0833333333333335)	(42.0, 2.1666666666666665)	(43.0, 5.249999999999999)	(44.0, 3.583333333333333)	(45.0, 9.249999999999998)	(46.0, 25.5)	(47.0, 207.83333333333343)	(48.0, 576.9999999999997)	(49.0, 388.41666666666646)	(50.0, 328.66666666666646)	(51.0, 669.4166666666678)	(52.0, 1703.1666666666572)	(53.0, 2801.2500000000073)	(54.0, 3017.5833333333385)	(55.0, 1954.7499999999982)	(56.0, 709.25)	(57.0, 226.83333333333334)	(58.0, 118.49999999999999)	(59.0, 68.91666666666667)	(60.0, 33.58333333333333)	(61.0, 22.833333333333332)	(62.0, 19.833333333333336)	(63.0, 23.166666666666664)	(64.0, 20.25)	(65.0, 17.083333333333336)	(66.0, 11.833333333333334)	(67.0, 14.5)	(68.0, 14.833333333333332)	(69.0, 9.333333333333334)	(70.0, 4.0)	(71.0, 0.25)	(72.0, 1.5)	(73.0, 2.0)	(74.0, 1.5)	(75.0, 1.25)	(76.0, 0.5)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.25)	(80.0, 0.5)	(81.0, 0.5)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.25)	(86.0, 0.25)	(87.0, 0.25)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.25)	(100.0, 0.3333333333333333)
