Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
504A0_S1_L001_R1_001	(0.0, 0.01924752856386703)	(1.0, 0.009623764281933515)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0016039607136555858)	(37.0, 0.0016039607136555858)	(38.0, 0.0)	(39.0, 0.0037425749985296997)	(40.0, 0.0016039607136555858)	(41.0, 0.004811882140966757)	(42.0, 0.011762378566807629)	(43.0, 0.0112277249955891)	(44.0, 0.006415842854622343)	(45.0, 0.0016039607136555858)	(46.0, 0.017643567850211445)	(47.0, 0.05934654640525667)	(48.0, 0.09784160353299073)	(49.0, 0.2566337141848937)	(50.0, 1.8146142207156861)	(51.0, 9.626972203360825)	(52.0, 9.37087314274715)	(53.0, 13.189903601961092)	(54.0, 18.46586504274554)	(55.0, 15.509765447478294)	(56.0, 6.593347840266903)	(57.0, 4.327486005442782)	(58.0, 8.386041264562593)	(59.0, 5.572159519239603)	(60.0, 2.4326737490442953)	(61.0, 1.0965744745692025)	(62.0, 0.7923565925458592)	(63.0, 0.3919010677031815)	(64.0, 0.22615846062543757)	(65.0, 0.12029705352416893)	(66.0, 0.5148713890834431)	(67.0, 0.933505135347551)	(68.0, 0.09142576067836838)	(69.0, 0.01924752856386703)	(70.0, 0.016039607136555858)	(71.0, 0.0016039607136555858)	(72.0, 0.0016039607136555858)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504A0_S1_L001_R2_001	(0.0, 0.019334464757567275)	(1.0, 0.009667232378783638)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.00161120539646394)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.00322241079292788)	(35.0, 0.00322241079292788)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.00322241079292788)	(39.0, 0.00161120539646394)	(40.0, 0.00161120539646394)	(41.0, 0.010204300844271619)	(42.0, 0.01127843777524758)	(43.0, 0.016649122430127377)	(44.0, 0.01826032782659132)	(45.0, 0.012352574706223538)	(46.0, 0.033298244860254754)	(47.0, 0.07948613289222103)	(48.0, 0.20140067455799243)	(49.0, 0.3985048013920814)	(50.0, 1.0752110679069367)	(51.0, 3.8260757481363705)	(52.0, 14.084083438956691)	(53.0, 21.528389439085814)	(54.0, 21.240520741584152)	(55.0, 17.174912457840115)	(56.0, 6.552235278953357)	(57.0, 2.692324217491243)	(58.0, 3.0172506391114697)	(59.0, 2.2223893101892616)	(60.0, 1.0005585512041066)	(61.0, 0.43072890932136)	(62.0, 0.3431867494468192)	(63.0, 0.38722636361683355)	(64.0, 0.44147027863111954)	(65.0, 0.4479151002169754)	(66.0, 0.429654772390384)	(67.0, 0.7894906442673304)	(68.0, 0.776601001095619)	(69.0, 0.35446518722206677)	(70.0, 0.13050763711357913)	(71.0, 0.04833616189391819)	(72.0, 0.032224107929278795)	(73.0, 0.03383531332574274)	(74.0, 0.02255687555049516)	(75.0, 0.019334464757567275)	(76.0, 0.00161120539646394)	(77.0, 0.004833616189391819)	(78.0, 0.00322241079292788)	(79.0, 0.004833616189391819)	(80.0, 0.00644482158585576)	(81.0, 0.00322241079292788)	(82.0, 0.009667232378783638)	(83.0, 0.00644482158585576)	(84.0, 0.00322241079292788)	(85.0, 0.004833616189391819)	(86.0, 0.00322241079292788)	(87.0, 0.00644482158585576)	(88.0, 0.00322241079292788)	(89.0, 0.00161120539646394)	(90.0, 0.00161120539646394)	(91.0, 0.00161120539646394)	(92.0, 0.00161120539646394)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.00161120539646394)	(100.0, 0.004296547723903839)
504A14_S2_L001_R1_001	(0.0, 0.007583992719366993)	(1.0, 0.0037919963596834967)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0018959981798417483)	(44.0, 0.0037919963596834967)	(45.0, 0.017063983618575737)	(46.0, 0.032231969057309726)	(47.0, 0.1099678944308214)	(48.0, 0.15547185074702335)	(49.0, 0.23889577066006032)	(50.0, 1.6969183709583648)	(51.0, 8.334175999191046)	(52.0, 10.666885759789677)	(53.0, 9.787142604343103)	(54.0, 13.56839497434082)	(55.0, 12.523067977854737)	(56.0, 6.2782819728493156)	(57.0, 8.300680031347191)	(58.0, 16.608312056020257)	(59.0, 6.78135348990077)	(60.0, 2.100133983871381)	(61.0, 0.9214551154030893)	(62.0, 0.5713274515256469)	(63.0, 0.2142477943221176)	(64.0, 0.07773592537351168)	(65.0, 0.0701519326541447)	(66.0, 0.31852769421341376)	(67.0, 0.5403594812548983)	(68.0, 0.05308794903556896)	(69.0, 0.007583992719366993)	(70.0, 0.0018959981798417483)	(71.0, 0.0018959981798417483)	(72.0, 0.0018959981798417483)	(73.0, 0.0018959981798417483)	(74.0, 0.0018959981798417483)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504A14_S2_L001_R2_001	(0.0, 0.007653158841311766)	(1.0, 0.003826579420655883)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0019132897103279415)	(36.0, 0.003826579420655883)	(37.0, 0.0019132897103279415)	(38.0, 0.004464342657431863)	(39.0, 0.003826579420655883)	(40.0, 0.003826579420655883)	(41.0, 0.003826579420655883)	(42.0, 0.007653158841311766)	(43.0, 0.007653158841311766)	(44.0, 0.011479738261967649)	(45.0, 0.02487276623426324)	(46.0, 0.04655671628464657)	(47.0, 0.12436383117131618)	(48.0, 0.24362555644842449)	(49.0, 0.33546346254416576)	(50.0, 0.8297299710455496)	(51.0, 3.4247885814870025)	(52.0, 12.445311802446342)	(53.0, 19.26108751387136)	(54.0, 20.33252975165503)	(55.0, 18.62587533004251)	(56.0, 8.135307848314408)	(57.0, 6.332351177948711)	(58.0, 3.91395298409419)	(59.0, 1.9439023456931885)	(60.0, 0.815699179836479)	(61.0, 0.33737675225449365)	(62.0, 0.23023252847612893)	(63.0, 0.22959476523935293)	(64.0, 0.30102424775826275)	(65.0, 0.26594726973558386)	(66.0, 0.32717254046607797)	(67.0, 0.5057462467633526)	(68.0, 0.47640913787165734)	(69.0, 0.20663528871541764)	(70.0, 0.06122527073049413)	(71.0, 0.030612635365247064)	(72.0, 0.005739869130983824)	(73.0, 0.007653158841311766)	(74.0, 0.005739869130983824)	(75.0, 0.011479738261967649)	(76.0, 0.015306317682623532)	(77.0, 0.007653158841311766)	(78.0, 0.007653158841311766)	(79.0, 0.01721960739295147)	(80.0, 0.005739869130983824)	(81.0, 0.003826579420655883)	(82.0, 0.003826579420655883)	(83.0, 0.005739869130983824)	(84.0, 0.011479738261967649)	(85.0, 0.005739869130983824)	(86.0, 0.0019132897103279415)	(87.0, 0.0019132897103279415)	(88.0, 0.0)	(89.0, 0.003826579420655883)	(90.0, 0.005739869130983824)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0025510529471039216)
504B0_S3_L001_R1_001	(0.0, 0.007447680047665149)	(1.0, 0.0037238400238325743)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0018619200119162872)	(44.0, 0.0018619200119162872)	(45.0, 0.0037238400238325743)	(46.0, 0.0037238400238325743)	(47.0, 0.007447680047665149)	(48.0, 0.01861920011916287)	(49.0, 0.08068320051637244)	(50.0, 1.096050247014721)	(51.0, 6.9269630843325585)	(52.0, 8.045356371490277)	(53.0, 10.426131426727236)	(54.0, 19.216876442988)	(55.0, 19.56133164519251)	(56.0, 5.650306596161961)	(57.0, 3.6214344231771722)	(58.0, 9.037139097837702)	(59.0, 5.762021796876996)	(60.0, 3.037412179439426)	(61.0, 1.3449268886075316)	(62.0, 1.0079193664506836)	(63.0, 0.5728507236662443)	(64.0, 0.44561952285196466)	(65.0, 0.2643926416921128)	(66.0, 1.3070678483652336)	(67.0, 2.2659566545021215)	(68.0, 0.23460192150145218)	(69.0, 0.029790720190660595)	(70.0, 0.007447680047665149)	(71.0, 0.009309600059581435)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B0_S3_L001_R2_001	(0.0, 0.007578006100294922)	(1.0, 0.003789003050147461)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0044205035585053705)	(37.0, 0.0044205035585053705)	(38.0, 0.003789003050147461)	(39.0, 0.007578006100294922)	(40.0, 0.011998509658800291)	(41.0, 0.011998509658800291)	(42.0, 0.003789003050147461)	(43.0, 0.003789003050147461)	(44.0, 0.009472507625368652)	(45.0, 0.015156012200589843)	(46.0, 0.024628519825958498)	(47.0, 0.027154521859390133)	(48.0, 0.0625185503274331)	(49.0, 0.252600203343164)	(50.0, 0.7451705998623331)	(51.0, 3.0362544441848254)	(52.0, 11.355010640783505)	(53.0, 17.2336488730873)	(54.0, 21.966745183229918)	(55.0, 20.79783774225941)	(56.0, 7.082909701742321)	(57.0, 2.8562767993028273)	(58.0, 3.29959015617008)	(59.0, 2.3782309144758895)	(60.0, 1.076076866241879)	(61.0, 0.5039374056696123)	(62.0, 0.3675332958643037)	(63.0, 0.4028973243323467)	(64.0, 0.5525629448131713)	(65.0, 0.661181032250732)	(66.0, 0.6895985551268379)	(67.0, 1.370356103136665)	(68.0, 1.7239963878170945)	(69.0, 0.8866267137345057)	(70.0, 0.2860697302861333)	(71.0, 0.07009655642772802)	(72.0, 0.03978453202654834)	(73.0, 0.030312024401179687)	(74.0, 0.011367009150442383)	(75.0, 0.018945015250737305)	(76.0, 0.020839516775811036)	(77.0, 0.003789003050147461)	(78.0, 0.007578006100294922)	(79.0, 0.007578006100294922)	(80.0, 0.007578006100294922)	(81.0, 0.011367009150442383)	(82.0, 0.005683504575221192)	(83.0, 0.003789003050147461)	(84.0, 0.005683504575221192)	(85.0, 0.007578006100294922)	(86.0, 0.0018945015250737304)	(87.0, 0.0018945015250737304)	(88.0, 0.0018945015250737304)	(89.0, 0.0018945015250737304)	(90.0, 0.0018945015250737304)	(91.0, 0.0)	(92.0, 0.003789003050147461)	(93.0, 0.003789003050147461)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0018945015250737304)	(97.0, 0.0018945015250737304)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B14_S4_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.005248976449592323)	(40.0, 0.010497952899184647)	(41.0, 0.005248976449592323)	(42.0, 0.0026244882247961616)	(43.0, 0.0026244882247961616)	(44.0, 0.0)	(45.0, 0.0026244882247961616)	(46.0, 0.007873464674388484)	(47.0, 0.020995905798369293)	(48.0, 0.028869370472757776)	(49.0, 0.15834412289603508)	(50.0, 1.4810861881933002)	(51.0, 8.830528047030818)	(52.0, 10.293242817650546)	(53.0, 12.636910802393517)	(54.0, 13.828428456450972)	(55.0, 11.672848794485063)	(56.0, 6.104559610875869)	(57.0, 4.564859852328782)	(58.0, 5.438814431185871)	(59.0, 10.171641529901846)	(60.0, 5.959337929103805)	(61.0, 2.2518108968751083)	(62.0, 1.4268467648808463)	(63.0, 0.8870770199811026)	(64.0, 0.46453441578892063)	(65.0, 0.3333100045491125)	(66.0, 1.2545053714525651)	(67.0, 1.905378451202013)	(68.0, 0.21258354620848907)	(69.0, 0.023620394023165455)	(70.0, 0.010497952899184647)	(71.0, 0.0026244882247961616)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
504B14_S4_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.002654186093834327)	(39.0, 0.010616744375337307)	(40.0, 0.013270930469171636)	(41.0, 0.014155659167116412)	(42.0, 0.008847286979447757)	(43.0, 0.010616744375337307)	(44.0, 0.019464031354785066)	(45.0, 0.0256571322403985)	(46.0, 0.022118217448619394)	(47.0, 0.07077829583558204)	(48.0, 0.1335940333896612)	(49.0, 0.35123729308407564)	(50.0, 1.2625078519671933)	(51.0, 5.050031407868771)	(52.0, 13.865468154190516)	(53.0, 17.52912969237982)	(54.0, 15.776482141751227)	(55.0, 10.786612285342708)	(56.0, 5.2535190083960766)	(57.0, 3.9308496049686377)	(58.0, 8.169584796822061)	(59.0, 6.622194304116647)	(60.0, 2.617027488520647)	(61.0, 0.9732015677392531)	(62.0, 0.5157968309018044)	(63.0, 0.5184510169956386)	(64.0, 0.6095780728839505)	(65.0, 0.6449672208017416)	(66.0, 0.8166045882030281)	(67.0, 1.490767856036947)	(68.0, 1.5296959187465173)	(69.0, 0.737863734085943)	(70.0, 0.2733811676649357)	(71.0, 0.10351325765953875)	(72.0, 0.06635465234585818)	(73.0, 0.03981279140751491)	(74.0, 0.021233488750674614)	(75.0, 0.023887674844508943)	(76.0, 0.00796255828150298)	(77.0, 0.010616744375337307)	(78.0, 0.010616744375337307)	(79.0, 0.005308372187668654)	(80.0, 0.002654186093834327)	(81.0, 0.005308372187668654)	(82.0, 0.002654186093834327)	(83.0, 0.005308372187668654)	(84.0, 0.005308372187668654)	(85.0, 0.005308372187668654)	(86.0, 0.002654186093834327)	(87.0, 0.002654186093834327)	(88.0, 0.005308372187668654)	(89.0, 0.00796255828150298)	(90.0, 0.005308372187668654)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.003538914791779103)
508A0_S9_L001_R1_001	(0.0, 0.015463917525773203)	(1.0, 0.007731958762886602)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.003865979381443301)	(42.0, 0.0115979381443299)	(43.0, 0.0115979381443299)	(44.0, 0.00579896907216495)	(45.0, 0.0019329896907216504)	(46.0, 0.0541237113402062)	(47.0, 1.8498711340206193)	(48.0, 2.5960051546391765)	(49.0, 1.048969072164949)	(50.0, 2.471005154639176)	(51.0, 9.57731958762887)	(52.0, 14.292525773195877)	(53.0, 15.224226804123697)	(54.0, 21.840206185567045)	(55.0, 15.31185567010307)	(56.0, 5.454896907216505)	(57.0, 3.0444587628865962)	(58.0, 4.344072164948443)	(59.0, 1.4980670103092821)	(60.0, 0.5457474226804127)	(61.0, 0.24291237113402067)	(62.0, 0.14755154639175266)	(63.0, 0.11404639175257736)	(64.0, 0.0541237113402062)	(65.0, 0.015463917525773203)	(66.0, 0.07925257731958765)	(67.0, 0.11404639175257736)	(68.0, 0.019329896907216502)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0019329896907216504)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
508A0_S9_L001_R2_001	(0.0, 0.015353612897034831)	(1.0, 0.0076768064485174155)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0019192016121293539)	(35.0, 0.0019192016121293539)	(36.0, 0.0038384032242587077)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0019192016121293539)	(40.0, 0.005757604836388062)	(41.0, 0.01599334676774462)	(42.0, 0.016633080638454402)	(43.0, 0.04030323385471642)	(44.0, 0.027508556440520734)	(45.0, 0.07101045964878608)	(46.0, 0.1957585644371941)	(47.0, 1.5954962735502036)	(48.0, 4.429517320794546)	(49.0, 2.9817995713783048)	(50.0, 2.523110386079389)	(51.0, 5.138982183411708)	(52.0, 13.074880849566506)	(53.0, 21.504654063909467)	(54.0, 23.165403192272052)	(55.0, 15.006237405239403)	(56.0, 5.444774973610977)	(57.0, 1.7413555960720337)	(58.0, 0.9097015641493136)	(59.0, 0.5290599110769919)	(60.0, 0.2578127498960432)	(61.0, 0.17528708057448097)	(62.0, 0.15225666122892875)	(63.0, 0.17784601605732012)	(64.0, 0.15545533058247768)	(65.0, 0.13114544349550586)	(66.0, 0.09084220964078943)	(67.0, 0.11131369350350254)	(68.0, 0.11387262898634165)	(69.0, 0.07165019351949588)	(70.0, 0.030707225794069662)	(71.0, 0.0019192016121293539)	(72.0, 0.011515209672776123)	(73.0, 0.015353612897034831)	(74.0, 0.011515209672776123)	(75.0, 0.009596008060646768)	(76.0, 0.0038384032242587077)	(77.0, 0.0038384032242587077)	(78.0, 0.0038384032242587077)	(79.0, 0.0019192016121293539)	(80.0, 0.0038384032242587077)	(81.0, 0.0038384032242587077)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0019192016121293539)	(86.0, 0.0019192016121293539)	(87.0, 0.0019192016121293539)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0019192016121293539)	(100.0, 0.0025589354828391385)
