Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
504A0_S1_L001_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 13.0)	(20.0, 26.0)	(21.0, 43.0)	(22.0, 108.0)	(23.0, 169.0)	(24.0, 220.0)	(25.0, 237.0)	(26.0, 285.0)	(27.0, 384.0)	(28.0, 487.0)	(29.0, 639.0)	(30.0, 756.0)	(31.0, 1021.0)	(32.0, 1436.0)	(33.0, 1991.0)	(34.0, 2947.0)	(35.0, 4897.0)	(36.0, 10191.0)	(37.0, 19800.0)
504A0_S1_L001_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 58.0)	(13.0, 229.0)	(14.0, 182.0)	(15.0, 91.0)	(16.0, 80.0)	(17.0, 126.0)	(18.0, 168.0)	(19.0, 195.0)	(20.0, 261.0)	(21.0, 324.0)	(22.0, 430.0)	(23.0, 520.0)	(24.0, 653.0)	(25.0, 926.0)	(26.0, 1125.0)	(27.0, 1492.0)	(28.0, 2074.0)	(29.0, 2542.0)	(30.0, 3362.0)	(31.0, 4734.0)	(32.0, 6186.0)	(33.0, 7909.0)	(34.0, 7792.0)	(35.0, 3807.0)	(36.0, 378.0)	(37.0, 7.0)
504A14_S2_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 7.0)	(20.0, 30.0)	(21.0, 54.0)	(22.0, 100.0)	(23.0, 190.0)	(24.0, 209.0)	(25.0, 246.0)	(26.0, 295.0)	(27.0, 336.0)	(28.0, 425.0)	(29.0, 520.0)	(30.0, 708.0)	(31.0, 941.0)	(32.0, 1257.0)	(33.0, 1670.0)	(34.0, 2543.0)	(35.0, 4283.0)	(36.0, 8957.0)	(37.0, 15557.0)
504A14_S2_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 60.0)	(13.0, 194.0)	(14.0, 154.0)	(15.0, 70.0)	(16.0, 72.0)	(17.0, 94.0)	(18.0, 119.0)	(19.0, 144.0)	(20.0, 195.0)	(21.0, 264.0)	(22.0, 300.0)	(23.0, 379.0)	(24.0, 554.0)	(25.0, 690.0)	(26.0, 923.0)	(27.0, 1200.0)	(28.0, 1681.0)	(29.0, 2097.0)	(30.0, 2942.0)	(31.0, 3900.0)	(32.0, 5154.0)	(33.0, 6946.0)	(34.0, 6529.0)	(35.0, 3355.0)	(36.0, 307.0)	(37.0, 4.0)
504B0_S3_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 11.0)	(20.0, 13.0)	(21.0, 40.0)	(22.0, 95.0)	(23.0, 148.0)	(24.0, 162.0)	(25.0, 227.0)	(26.0, 234.0)	(27.0, 322.0)	(28.0, 396.0)	(29.0, 486.0)	(30.0, 674.0)	(31.0, 852.0)	(32.0, 1181.0)	(33.0, 1692.0)	(34.0, 2545.0)	(35.0, 4115.0)	(36.0, 8863.0)	(37.0, 16759.0)
504B0_S3_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 7.0)	(12.0, 46.0)	(13.0, 177.0)	(14.0, 122.0)	(15.0, 79.0)	(16.0, 66.0)	(17.0, 92.0)	(18.0, 137.0)	(19.0, 188.0)	(20.0, 221.0)	(21.0, 310.0)	(22.0, 374.0)	(23.0, 491.0)	(24.0, 615.0)	(25.0, 772.0)	(26.0, 1039.0)	(27.0, 1408.0)	(28.0, 1906.0)	(29.0, 2436.0)	(30.0, 3228.0)	(31.0, 4167.0)	(32.0, 5404.0)	(33.0, 6607.0)	(34.0, 5982.0)	(35.0, 2706.0)	(36.0, 235.0)	(37.0, 2.0)
504B14_S4_L001_R1_001	(18.0, 5.0)	(19.0, 12.0)	(20.0, 15.0)	(21.0, 34.0)	(22.0, 95.0)	(23.0, 121.0)	(24.0, 136.0)	(25.0, 155.0)	(26.0, 206.0)	(27.0, 257.0)	(28.0, 314.0)	(29.0, 405.0)	(30.0, 519.0)	(31.0, 688.0)	(32.0, 928.0)	(33.0, 1229.0)	(34.0, 1918.0)	(35.0, 3221.0)	(36.0, 6456.0)	(37.0, 11248.0)																
504B14_S4_L001_R2_001	(11.0, 4.0)	(12.0, 29.0)	(13.0, 143.0)	(14.0, 91.0)	(15.0, 55.0)	(16.0, 49.0)	(17.0, 89.0)	(18.0, 115.0)	(19.0, 132.0)	(20.0, 195.0)	(21.0, 234.0)	(22.0, 303.0)	(23.0, 348.0)	(24.0, 491.0)	(25.0, 633.0)	(26.0, 826.0)	(27.0, 1142.0)	(28.0, 1385.0)	(29.0, 1893.0)	(30.0, 2555.0)	(31.0, 3227.0)	(32.0, 4069.0)	(33.0, 4347.0)	(34.0, 3785.0)	(35.0, 1698.0)	(36.0, 118.0)	(37.0, 6.0)									
508A0_S9_L001_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 10.0)	(20.0, 21.0)	(21.0, 43.0)	(22.0, 90.0)	(23.0, 137.0)	(24.0, 153.0)	(25.0, 205.0)	(26.0, 269.0)	(27.0, 286.0)	(28.0, 384.0)	(29.0, 464.0)	(30.0, 557.0)	(31.0, 793.0)	(32.0, 1083.0)	(33.0, 1538.0)	(34.0, 2295.0)	(35.0, 3812.0)	(36.0, 8051.0)	(37.0, 18192.0)
508A0_S9_L001_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 46.0)	(13.0, 196.0)	(14.0, 141.0)	(15.0, 80.0)	(16.0, 63.0)	(17.0, 72.0)	(18.0, 117.0)	(19.0, 151.0)	(20.0, 194.0)	(21.0, 261.0)	(22.0, 316.0)	(23.0, 398.0)	(24.0, 543.0)	(25.0, 659.0)	(26.0, 840.0)	(27.0, 1110.0)	(28.0, 1510.0)	(29.0, 2071.0)	(30.0, 2755.0)	(31.0, 3786.0)	(32.0, 5130.0)	(33.0, 6593.0)	(34.0, 7124.0)	(35.0, 3770.0)	(36.0, 446.0)	(37.0, 11.0)
