Sample	Unique Reads	Duplicate Reads
504A0_S1_L001_R1_001	3018.0	42637.0
504A0_S1_L001_R2_001	4253.0	41402.0
504A14_S2_L001_R1_001	2861.0	35469.0
504A14_S2_L001_R2_001	3621.0	34709.0
504B0_S3_L001_R1_001	2526.0	36293.0
504B0_S3_L001_R2_001	3625.0	35194.0
504B14_S4_L001_R1_001	2143.0	25819.0
504B14_S4_L001_R2_001	3021.0	24941.0
508A0_S9_L001_R1_001	3175.0	35214.0
508A0_S9_L001_R2_001	3699.0	34690.0
508A14_S10_L001_R1_001	2712.0	34756.0
508A14_S10_L001_R2_001	3348.0	34120.0
508B0_S11_L001_R1_001	2057.0	24239.0
508B0_S11_L001_R2_001	2610.0	23686.0
508B14_S12_L001_R1_001	2448.0	23785.0
508B14_S12_L001_R2_001	2887.0	23346.0
519A0_S33_L001_R1_001	2601.0	23757.0
519A0_S33_L001_R2_001	2569.0	23789.0
519A14_S34_L001_R1_001	2699.0	30358.0
519A14_S34_L001_R2_001	2929.0	30128.0
519B0_S35_L001_R1_001	2546.0	22829.0
519B0_S35_L001_R2_001	2685.0	22690.0
519B14_S36_L001_R1_001	2661.0	27427.0
519B14_S36_L001_R2_001	2860.0	27228.0
521A0_S25_L001_R1_001	2031.0	25482.0
521A0_S25_L001_R2_001	2707.0	24806.0
521A14_S26_L001_R1_001	2150.0	26064.0
521A14_S26_L001_R2_001	2736.0	25478.0
521B0_S27_L001_R1_001	2130.0	27904.0
521B0_S27_L001_R2_001	3587.0	26447.0
521B14_S28_L001_R1_001	2158.0	27658.0
521B14_S28_L001_R2_001	3015.0	26801.0
523A0_S17_L001_R1_001	1938.0	23599.0
523A0_S17_L001_R2_001	2629.0	22908.0
523A14_S18_L001_R1_001	1952.0	21608.0
523A14_S18_L001_R2_001	2590.0	20970.0
523B0_S19_L001_R1_001	2026.0	19751.0
523B0_S19_L001_R2_001	2567.0	19210.0
523B14_S20_L001_R1_001	1866.0	18920.0
523B14_S20_L001_R2_001	2488.0	18298.0
528A0_S53_L001_R1_001	2305.0	21699.0
528A0_S53_L001_R2_001	2585.0	21419.0
528A14_S54_L001_R1_001	2329.0	22850.0
528A14_S54_L001_R2_001	2559.0	22620.0
528B0_S55_L001_R1_001	2175.0	22105.0
528B0_S55_L001_R2_001	2562.0	21718.0
528B14_S56_L001_R1_001	2365.0	23399.0
528B14_S56_L001_R2_001	2889.0	22875.0
532A0_S45_L001_R1_001	2698.0	34408.0
532A0_S45_L001_R2_001	3622.0	33484.0
532A14_S46_L001_R1_001	3338.0	41915.0
532A14_S46_L001_R2_001	4252.0	41001.0
532B0_S47_L001_R1_001	3532.0	46235.0
532B0_S47_L001_R2_001	4497.0	45270.0
532B14_S48_L001_R1_001	4018.0	58579.0
532B14_S48_L001_R2_001	5752.0	56845.0
550A0_S65_L001_R1_001	2228.0	21580.0
550A0_S65_L001_R2_001	2480.0	21328.0
550A14_S66_L001_R1_001	2333.0	22151.0
550A14_S66_L001_R2_001	2682.0	21802.0
550B0_S67_L001_R1_001	2343.0	23191.0
550B0_S67_L001_R2_001	2708.0	22826.0
550B14_S68_L001_R1_001	2497.0	22422.0
550B14_S68_L001_R2_001	2728.0	22191.0
551A0_S73_L001_R1_001	2579.0	26752.0
551A0_S73_L001_R2_001	2965.0	26366.0
551A14_S74_L001_R1_001	2558.0	27864.0
551A14_S74_L001_R2_001	3299.0	27123.0
551B0_S75_L001_R1_001	2492.0	33935.0
551B0_S75_L001_R2_001	3296.0	33131.0
551B14_S76_L001_R1_001	2441.0	40402.0
