Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
504A0_S1_L001_R1_001	(1.0, 4.595334574526339)	(2.0, 1.4105793450881612)	(3.0, 0.906801007556675)	(4.0, 0.7009089913481547)	(5.0, 0.5694885554703756)	(6.0, 0.4074033512211149)	(7.0, 0.4293067572007447)	(8.0, 0.4030226700251889)	(9.0, 0.3154090461066696)	('>10', 7.024422297667288)	('>50', 2.7598291534333588)	('>100', 22.792684262402805)	('>500', 7.639908005694886)	('>1k', 36.8875260102946)	('>5k', 13.157375971963639)	('>10k+', 0.0)
504A0_S1_L001_R2_001	(1.0, 7.5019165480232175)	(2.0, 1.6164713612966817)	(3.0, 1.0119373562588982)	(4.0, 0.6921476289563028)	(5.0, 0.6242470704194503)	(6.0, 0.4074033512211149)	(7.0, 0.32198006790055855)	(8.0, 0.2102726974044464)	(9.0, 0.21684371919833534)	('>10', 1.9515934727850182)	('>50', 1.2660168656226043)	('>100', 8.507282882488227)	('>500', 5.346621399627642)	('>1k', 58.600372357901655)	('>5k', 11.724893220895849)	('>10k+', 0.0)
504A14_S2_L001_R1_001	(1.0, 5.168275502217584)	(2.0, 1.5549178189407775)	(3.0, 1.1270545264805636)	(4.0, 0.7200626141403601)	(5.0, 0.6391860161753196)	(6.0, 0.5948343334202975)	(7.0, 0.49308635533524653)	(8.0, 0.5843986433602921)	(9.0, 0.44612575006522304)	('>10', 6.571875815288286)	('>50', 3.8768588572919387)	('>100', 22.825463083746413)	('>500', 14.294286459692145)	('>1k', 41.10357422384555)	('>5k', 0.0)	('>10k+', 0.0)
504A14_S2_L001_R2_001	(1.0, 7.698930341768849)	(2.0, 1.5444821288807722)	(3.0, 1.001826245760501)	(4.0, 0.5948343334202975)	(5.0, 0.5609183407252805)	(6.0, 0.43829898252021915)	(7.0, 0.20088703365510044)	(8.0, 0.16697104096008347)	(9.0, 0.21132272371510566)	('>10', 2.0845290894860424)	('>50', 1.6540568745108268)	('>100', 10.367858074615183)	('>500', 14.244716931907123)	('>1k', 59.230367858074615)	('>5k', 0.0)	('>10k+', 0.0)
504B0_S3_L001_R1_001	(1.0, 4.423091784950668)	(2.0, 1.5559391019861408)	(3.0, 0.958293619104047)	(4.0, 0.5976454828820938)	(5.0, 0.46369046085679694)	(6.0, 0.4791468095520235)	(7.0, 0.3426157294108555)	(8.0, 0.5152116231742188)	(9.0, 0.3477678456425977)	('>10', 6.87549911125995)	('>50', 2.596666580798063)	('>100', 18.004070171823074)	('>500', 21.92225456606301)	('>1k', 40.91810711249646)	('>5k', 0.0)	('>10k+', 0.0)
504B0_S3_L001_R2_001	(1.0, 7.462840361678559)	(2.0, 1.8135449135732502)	(3.0, 1.0819444086658594)	(4.0, 0.7006878075169376)	(5.0, 0.5409722043329297)	(6.0, 0.27821427651407815)	(7.0, 0.2163888817331719)	(8.0, 0.22669311419665628)	(9.0, 0.1854761843427188)	('>10', 1.6924701821273087)	('>50', 0.3606481362219532)	('>100', 15.160102011901389)	('>500', 5.51018830984827)	('>1k', 64.76982920734692)	('>5k', 0.0)	('>10k+', 0.0)
504B14_S4_L001_R1_001	(1.0, 5.400185966669051)	(2.0, 1.6880051498462199)	(3.0, 0.9763250125169873)	(4.0, 0.6866461626493098)	(5.0, 0.7152564194263643)	(6.0, 0.4935269294041914)	(7.0, 0.4255775695586868)	(8.0, 0.2574923109934912)	(9.0, 0.32186538874186393)	('>10', 7.056004577641084)	('>50', 4.802946856448036)	('>100', 23.049138116014593)	('>500', 16.837136113296616)	('>1k', 37.289893426793505)	('>5k', 0.0)	('>10k+', 0.0)
504B14_S4_L001_R2_001	(1.0, 8.980044345898005)	(2.0, 1.9240397682569201)	(3.0, 0.8690365496030327)	(4.0, 0.47206923682140045)	(5.0, 0.4649166726271368)	(6.0, 0.38623846649023674)	(7.0, 0.2753737214791503)	(8.0, 0.28610256777054577)	(9.0, 0.09655961662255919)	('>10', 1.3589871969100922)	('>50', 0.7689006508833417)	('>100', 16.314998927115372)	('>500', 28.967884986767757)	('>1k', 38.83484729275445)	('>5k', 0.0)	('>10k+', 0.0)
508A0_S9_L001_R1_001	(1.0, 5.709969001536899)	(2.0, 1.8130193545025919)	(3.0, 1.0706191877881683)	(4.0, 0.833572117012686)	(5.0, 0.599129959102868)	(6.0, 0.5939201333715388)	(7.0, 0.5287973117299226)	(8.0, 0.45846466435697725)	(9.0, 0.42199588423767226)	('>10', 9.018208340930995)	('>50', 7.6610487379197165)	('>100', 24.663315012112843)	('>500', 4.316340618406314)	('>1k', 42.3115996769908)	('>5k', 0.0)	('>10k+', 0.0)
508A0_S9_L001_R2_001	(1.0, 7.788689468337284)	(2.0, 1.687983536950689)	(3.0, 0.9065096772512959)	(4.0, 0.6772773450728073)	(5.0, 0.45585975149131264)	(6.0, 0.34384849826773295)	(7.0, 0.45585975149131264)	(8.0, 0.18755372632785433)	(9.0, 0.3516632368647269)	('>10', 2.886243455156425)	('>50', 2.5502096954856857)	('>100', 14.73078225533356)	('>500', 8.981739560811691)	('>1k', 57.995780041157616)	('>5k', 0.0)	('>10k+', 0.0)
508A14_S10_L001_R1_001	(1.0, 4.956229315682716)	(2.0, 1.5426497277676952)	(3.0, 0.9608198996476993)	(4.0, 0.7579801430554073)	(5.0, 0.547133553966051)	(6.0, 0.5764919397886197)	(7.0, 0.3923347923561439)	(8.0, 0.34162485320807084)	(9.0, 0.3603074623678873)	('>10', 8.796839970107825)	('>50', 6.106544251094267)	('>100', 23.953773887050282)	('>500', 4.7400448382619835)	('>1k', 45.967225365645355)	('>5k', 0.0)	('>10k+', 0.0)
508A14_S10_L001_R2_001	(1.0, 7.15810825237536)	(2.0, 1.6227180527383367)	(3.0, 0.8327105796946729)	(4.0, 0.7473043663926551)	(5.0, 0.4670652289954095)	(6.0, 0.3362869648766948)	(7.0, 0.2241913099177965)	(8.0, 0.25621863990605315)	(9.0, 0.14412298494715492)	('>10', 2.6769509981851183)	('>50', 3.4295932529091493)	('>100', 11.057435678445607)	('>500', 5.506031813814455)	('>1k', 65.54126187680154)	('>5k', 0.0)	('>10k+', 0.0)
