Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
504A0_S1_L001_R1_001	504A0_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45655.0	13.7 Mbp	0.0	35-301	54.0	6.610447924652283	300.6340926514073	301	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
504A0_S1_L001_R2_001	504A0_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45655.0	13.6 Mbp	0.0	35-301	54.0	9.315518563136568	300.7522943817764	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
504A14_S2_L001_R1_001	504A14_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38330.0	11.5 Mbp	0.0	35-301	54.0	7.464127315418732	300.5543699452126	301	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
504A14_S2_L001_R2_001	504A14_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38330.0	11.4 Mbp	0.0	35-301	54.0	9.446908426819723	300.70879206887554	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
504B0_S3_L001_R1_001	504B0_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38819.0	11.6 Mbp	0.0	35-301	55.0	6.504546742574513	300.712383111363	301	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
504B0_S3_L001_R2_001	504B0_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38819.0	11.6 Mbp	0.0	35-301	55.0	9.338210670032716	300.7981529663309	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
504B14_S4_L001_R1_001	504B14_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27962.0	8.4 Mbp	0.0	40-301	55.0	7.663972534153494	300.5775695586868	301	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
504B14_S4_L001_R2_001	504B14_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27962.0	8.3 Mbp	0.0	40-301	55.0	10.803948215435232	300.84257206208423	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
508A0_S9_L001_R1_001	508A0_S9_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38389.0	11.5 Mbp	0.0	35-301	53.0	8.270598348485244	300.76307015030346	301	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
508A0_S9_L001_R2_001	508A0_S9_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38389.0	11.5 Mbp	0.0	35-301	53.0	9.635572690093516	300.74884732605693	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
