Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
504A0_S1_L001_R1_001	93.38955207534772	54.0	300.6340926514073	301	45.45454545454545	0.045655
504A0_S1_L001_R2_001	90.68448143686344	54.0	300.7522943817764	301	45.45454545454545	0.045655
504A14_S2_L001_R1_001	92.53587268458126	54.0	300.5543699452126	301	45.45454545454545	0.038329999999999996
504A14_S2_L001_R2_001	90.55309157318028	54.0	300.70879206887554	301	45.45454545454545	0.038329999999999996
504B0_S3_L001_R1_001	93.49545325742548	55.0	300.712383111363	301	45.45454545454545	0.038819
504B0_S3_L001_R2_001	90.66178932996729	55.0	300.7981529663309	301	45.45454545454545	0.038819
504B14_S4_L001_R1_001	92.33602746584651	55.0	300.5775695586868	301	45.45454545454545	0.027961999999999997
504B14_S4_L001_R2_001	89.19605178456477	55.0	300.84257206208423	301	45.45454545454545	0.027961999999999997
508A0_S9_L001_R1_001	91.72940165151476	53.0	300.76307015030346	301	45.45454545454545	0.038389
508A0_S9_L001_R2_001	90.36442730990649	53.0	300.74884732605693	301	45.45454545454545	0.038389
508A14_S10_L001_R1_001	92.761823422654	53.0	300.8122130885022	301	36.36363636363637	0.037468
508A14_S10_L001_R2_001	91.0643749332764	53.0	300.78324169958364	301	45.45454545454545	0.037468
508B0_S11_L001_R1_001	92.17751749315485	53.0	300.7344653179191	301	45.45454545454545	0.026296
508B0_S11_L001_R2_001	90.07453605111044	53.0	300.76931852753273	301	45.45454545454545	0.026296
508B14_S12_L001_R1_001	90.6682422902451	54.0	300.77606449891357	301	45.45454545454545	0.026233
508B14_S12_L001_R2_001	88.99477757023597	53.0	300.78448900240153	301	45.45454545454545	0.026233
519A0_S33_L001_R1_001	90.13582214128537	54.0	300.8771530465134	301	45.45454545454545	0.026358
519A0_S33_L001_R2_001	90.25343349267774	54.0	300.83302982016846	301	45.45454545454545	0.026358
519A14_S34_L001_R1_001	91.83531475935506	54.0	300.8946365368908	301	45.45454545454545	0.033056999999999996
519A14_S34_L001_R2_001	91.13954684333122	54.0	300.86573191759686	301	45.45454545454545	0.033056999999999996
519B0_S35_L001_R1_001	89.96650246305418	54.0	300.7223251231527	301	45.45454545454545	0.025374999999999998
519B0_S35_L001_R2_001	89.41871921182266	54.0	300.7627586206897	301	45.45454545454545	0.025374999999999998
519B14_S36_L001_R1_001	91.15594256846583	54.0	300.8550418771603	301	45.45454545454545	0.030088
519B14_S36_L001_R2_001	90.49787290614198	54.0	300.7723178675884	301	45.45454545454545	0.030088
521A0_S25_L001_R1_001	92.61803511067495	53.0	300.95445789263255	301	45.45454545454545	0.027513
521A0_S25_L001_R2_001	90.16101479300694	53.0	300.8735870315851	301	45.45454545454545	0.027513
521A14_S26_L001_R1_001	92.37966966754094	53.0	300.8828950166584	301	45.45454545454545	0.028214
521A14_S26_L001_R2_001	90.30623094917416	53.0	300.77300276458493	301	45.45454545454545	0.028214
521B0_S27_L001_R1_001	92.90803755743491	53.0	300.90297662649	301	45.45454545454545	0.030033999999999998
521B0_S27_L001_R2_001	88.05686888193381	53.0	300.82318372511156	301	45.45454545454545	0.030033999999999998
521B14_S28_L001_R1_001	92.76227528843575	52.0	300.8833344513013	301	45.45454545454545	0.029816
521B14_S28_L001_R2_001	89.88797960826402	53.0	300.76866447544944	301	45.45454545454545	0.029816
523A0_S17_L001_R1_001	92.41101147354819	54.0	300.86333555233585	301	45.45454545454545	0.025536999999999997
523A0_S17_L001_R2_001	89.7051337275326	54.0	300.8246465912206	301	45.45454545454545	0.025536999999999997
523A14_S18_L001_R1_001	91.71477079796264	53.0	300.7620331069609	301	45.45454545454545	0.023559999999999998
523A14_S18_L001_R2_001	89.00679117147708	53.0	300.7125636672326	301	45.45454545454545	0.023559999999999998
523B0_S19_L001_R1_001	90.69660651145705	53.0	300.7499196399871	301	45.45454545454545	0.021776999999999998
523B0_S19_L001_R2_001	88.21233411397345	53.0	300.7591725214676	301	45.45454545454545	0.021776999999999998
523B14_S20_L001_R1_001	91.0228038102569	53.0	300.86486096411045	301	45.45454545454545	0.020786
523B14_S20_L001_R2_001	88.03040508034253	53.0	300.6549600692774	301	45.45454545454545	0.020786
528A0_S53_L001_R1_001	90.39743376103982	53.0	300.5778203632728	301	45.45454545454545	0.024003999999999998
528A0_S53_L001_R2_001	89.2309615064156	53.0	300.61291868022	301	45.45454545454545	0.024003999999999998
528A14_S54_L001_R1_001	90.75419992851185	53.0	300.6363636363636	301	45.45454545454545	0.025179
528A14_S54_L001_R2_001	89.83676873585131	53.0	300.72800746653957	301	45.45454545454545	0.025179
528B0_S55_L001_R1_001	91.04200988467875	54.0	300.57419686985173	301	45.45454545454545	0.02428
528B0_S55_L001_R2_001	89.44810543657331	54.0	300.62619439868206	301	45.45454545454545	0.02428
528B14_S56_L001_R1_001	90.82052476323553	54.0	300.63190886508306	301	45.45454545454545	0.025764
